,Brand Name,Price (AUD),Variety,Type,Region,State,Vintage,Size (mL),Alcohol Volume (%),Standard Drinks,Organic,Vegan Friendly,Wine Body,Wine Style,Closure,Langtons Classified
2631,Brands Laira,24.99,Merlot,Red,Coonawarra,South Australia,2012.0,750.0,14.5,8.6,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
2634,Wolf Blass,129.99,Cabernet Sauvignon,Red,McLaren Vale,South Australia,2006.0,750.0,15.0,8.9,Not specified,Not specified,Not specified,Dry,Screw Cap,Excellent
2635,Brand's Laira Foundation,24.99,Shiraz,Red,Coonawarra,South Australia,2010.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2637,Cleanskin,8.99,Shiraz,Red,Heathcote,Victoria,2014.0,750.0,,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2639,Taylors,33.99,Shiraz,Red,Clare Valley,South Australia,2012.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2640,Heathcote Estate,57.99,Shiraz,Red,Heathcote,Victoria,2010.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2641,Penfolds,52.99,Shiraz,Red,Coonawarra,South Australia,2009.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Excellent
2642,Penfolds,52.99,Shiraz,Red,Coonawarra,South Australia,2009.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Excellent
2643,Cherry Tree Hill,21.99,Cabernet Sauvignon,,,,2009.0,750.0,14.0,8.5,Not specified,Not specified,Medium Bodied,Not specified,Screw Cap,Not specified
2644,Kooyong,44.99,Pinot Noir,,Mornington Peninsula,Victoria,2015.0,750.0,13.0,7.7,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
2645,Wynns,25.99,Merlot,Red,Coonawarra,South Australia,2012.0,750.0,13.5,,Not specified,Not specified,Not specified,Dry,Screw Cap,Not specified
2646,Brown Brothers,12.99,Shiraz,,,Victoria,2017.0,750.0,10.5,6.2,Not specified,Not specified,Not specified,Sweet,Screw Cap,Not specified
2648,Jamiesons Run,6.99,Cabernet Sauvignon,,,South Australia,2017.0,750.0,13.5,8.0,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2651,Wolf Blass,109.99,Cabernet Sauvignon,Red,,South Australia,2013.0,750.0,,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Excellent
2652,Yering Station,33.99,Pinot Noir,Red,Yarra Valley,Victoria,2017.0,750.0,13.0,7.7,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
2653,Penfolds,950.0,Shiraz,,,South Australia,1980.0,750.0,12.5,7.6,Not specified,Not specified,Full Bodied,Dry,Not specified,Exceptional
2654,McWilliam's,23.99,Cabernet Sauvignon,Red,Hilltops,New South Wales,2014.0,750.0,,,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2655,Peter Lehmann,16.99,Shiraz,Red,Barossa Valley,South Australia,2017.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2656,Label 88,14.0,Pinot Noir,,,,2016.0,750.0,13.0,,Not specified,Not specified,Light Bodied,Pinot Noir,Screw Cap,Not specified
2658,Lindeman's,6.95,Cabernet Sauvignon,Red,,Victoria,2018.0,750.0,13.5,8.0,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2659,Glaetzer,32.99,Shiraz,Red,Barossa Valley,South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2660,Vasse Felix,15.7,Shiraz,Red,,Western Australia,2016.0,750.0,14.0,8.3,Not specified,Not specified,Not specified,Dry,Screw Cap,Not specified
2661,Jacob's Creek,5.95,Cabernet Sauvignon,,,,2017.0,750.0,13.9,8.2,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2662,Gibson,29.99,Shiraz,Red,Barossa Valley,South Australia,2017.0,750.0,14.9,8.9,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2663,Tyrrell's,10.99,Pinot Noir,,,New South Wales,2017.0,750.0,13.5,8.0,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
2664,De Bortoli,18.99,Pinot Noir,Red,Yarra Valley,Victoria,2018.0,750.0,13.0,7.7,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
2665,Frogmore Creek,32.99,Pinot Noir,Red,,Tasmania,2016.0,750.0,14.0,8.3,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
2666,Spring Vale,23.99,Pinot Noir,Red,East Coast Tasmania,Tasmania,2018.0,750.0,13.8,8.2,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
2667,Heartland,32.99,Shiraz,Red,Langhorne Creek,South Australia,2015.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2668,Mollydooker,45.99,Shiraz,Red,,South Australia,2017.0,750.0,16.0,9.5,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2669,Stefano Lubiana,37.99,Pinot Noir,Red,,Tasmania,2017.0,750.0,13.5,8.3,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
2670,Cape Mentelle,24.99,Merlot,Red,Margaret River,Western Australia,2016.0,750.0,14.0,8.3,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
2671,Chris Ringland,49.99,Shiraz,,Barossa Valley,South Australia,2013.0,750.0,16.0,9.5,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2672,Grant Burge,13.95,Shiraz,,Barossa Valley,South Australia,2017.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2673,Rawson's Retreat,7.99,Cabernet Sauvignon,Red,,South Australia,2018.0,750.0,13.5,8.0,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2675,Penfolds,89.99,Shiraz,Red,Barossa Valley,South Australia,2015.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2676,Grant Burge,21.99,Cabernet Sauvignon,Red,Barossa Valley,South Australia,2016.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2677,Cleanskin,3.94,Merlot,Red,,South Australia,2016.0,750.0,,7.7,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
2678,19 Crimes,10.95,Shiraz,Red,South Eastern Australia,,2016.0,750.0,13.5,8.0,Not specified,Not specified,Full Bodied,Dry,Not specified,Not specified
2680,Yellow Tail,7.9,Cabernet Sauvignon,,South Eastern Australia,,2017.0,750.0,13.5,8.0,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2681,Yarra Yering,123.99,Shiraz,Red,Yarra Valley,Victoria,2016.0,750.0,14.0,8.3,Not specified,Not specified,Not specified,Not specified,Screw Cap,Outstanding
2682,Gossips,4.49,Merlot,,,,2018.0,750.0,12.5,7.4,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
2683,Riddoch,15.99,Shiraz,,Coonawarra,South Australia,2017.0,750.0,14.000000000000002,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2684,Coldstream Hills,28.99,Pinot Noir,Red,Yarra Valley,Victoria,2017.0,750.0,13.5,8.0,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
2685,Xanadu,31.99,Cabernet Sauvignon,Red,Margaret River,Western Australia,2014.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2686,Gossips,4.49,Shiraz,Red,,,2018.0,750.0,12.5,7.4,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2687,De Bortoli,4.99,Merlot,Red,,New South Wales,2017.0,750.0,13.5,8.0,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
2688,Wirra Wirra,16.7,Shiraz,,McLaren Vale,South Australia,2015.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2689,d'Arenberg,9.9,Shiraz,Red,McLaren Vale,South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
2690,Gossips,4.49,Merlot,Red,,,2018.0,750.0,12.0,7.1,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
2691,Pirathon,24.99,Shiraz,Red,Barossa Valley,South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2693,Jacob's Creek,18.99,Shiraz,Red,Barossa Valley,South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2694,Bay of Fires,38.99,Pinot Noir,Red,,Tasmania,2016.0,750.0,13.5,,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
2695,Grant Burge,33.99,Shiraz,Red,Barossa Valley,South Australia,2016.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2696,Vasse Felix,21.99,Merlot,Red,Margaret River,Western Australia,2017.0,750.0,13.5,8.0,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
2698,Epic Negociants,25.0,Merlot,Red,Multi-Regional Blend,Victoria,2018.0,750.0,14.0,8.3,Not specified,Not specified,Light Bodied,Rose,Screw Cap,Not specified
2699,George Wyndham,15.9,Shiraz,Red,Hunter Valley,New South Wales,2013.0,750.0,14.2,8.4,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
2700,Scotchmans Hill,31.99,Pinot Noir,,Geelong,Victoria,2016.0,750.0,13.5,8.0,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
2702,Ingoldby,14.99,Shiraz,Red,McLaren Vale,South Australia,2017.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2703,d'Arenberg,18.99,Cabernet Sauvignon,Red,McLaren Vale,South Australia,2015.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2704,Wolf Blass,9.95,Cabernet Sauvignon,Red,,South Australia,2016.0,750.0,13.5,8.0,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2705,De Bortoli,7.99,Shiraz,Red,,,2015.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2706,Woodlands,36.99,Merlot,Red,Margaret River,Western Australia,2011.0,750.0,13.5,,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
2707,Kooyong,29.99,Pinot Noir,,Mornington Peninsula,Victoria,2017.0,750.0,13.0,7.7,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
2708,Campbells,16.99,Shiraz,Red,Rutherglen,Victoria,2016.0,750.0,14.8,8.8,Not specified,Not specified,Not specified,Dry,Screw Cap,Not specified
2709,Wynns,42.9,Shiraz,Red,Coonawarra,South Australia,2012.0,750.0,13.5,8.0,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2710,Wills Domain,21.99,Merlot,Red,Margaret River,Western Australia,2014.0,750.0,14.0,8.3,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
2711,Penfolds,119.99,Shiraz,Red,,South Australia,2009.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Outstanding
2712,Innocent Bystander,22.99,Pinot Noir,,Yarra Valley,Victoria,2017.0,750.0,13.5,8.0,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
2713,Taylors,23.9,Pinot Noir,Red,Yarra Valley,South Australia,2016.0,750.0,13.5,8.3,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
2714,Chris Ringland,1399.0,Shiraz,Red,Barossa Valley,South Australia,2004.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
2715,Temple Bruer,19.99,Merlot,Red,Langhorne Creek,South Australia,2018.0,750.0,14.5,8.6,True,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
2716,Angove,13.99,Shiraz,Red,,South Australia,2018.0,750.0,14.5,8.6,True,Not specified,Not specified,Dry,Screw Cap,Not specified
2717,Brand's Laira,19.9,Cabernet Sauvignon,Red,Coonawarra,South Australia,2017.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2720,Chris Ringland,1350.0,Shiraz,Red,Barossa Valley,South Australia,2005.0,750.0,17.6,10.4,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
2721,Penfolds,899.0,Shiraz,Red,,South Australia,1996.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Cork,Exceptional
2722,Penfolds,899.0,Shiraz,,,South Australia,1990.0,750.0,13.5,,Not specified,Not specified,Full Bodied,Dry,Cork,Exceptional
2723,Krondorf,15.99,Shiraz,Red,Barossa Valley,South Australia,2017.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2724,Brokenwood,16.7,Merlot,Red,,South Australia,2016.0,750.0,14.0,8.3,Not specified,Not specified,Not specified,Dry,Screw Cap,Not specified
2725,House of Plantagenet,33.9,Shiraz,Red,,,2015.0,750.0,14.0,8.3,Not specified,Not specified,Not specified,Dry,Screw Cap,Not specified
2728,Shaw & Smith,45.99,Shiraz,Red,Adelaide Hills,South Australia,2015.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2729,Peter Lehmann,11.99,Merlot,,,South Australia,2015.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Dry,Screw Cap,Not specified
2730,Mount Langi Ghiran,16.99,Shiraz,Red,Grampians,Victoria,2016.0,750.0,13.0,7.7,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2731,Jacob's Creek,19.95,Cabernet Sauvignon,,Coonawarra,South Australia,2015.0,750.0,14.3,8.5,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2732,Penfolds,650.0,Cabernet Sauvignon,Red,Coonawarra,South Australia,1996.0,750.0,13.5,,Not specified,Not specified,Full Bodied,Dry,Cork,Exceptional
2733,Tasmanian Hill,14.6,Pinot Noir,Red,,Tasmania,2017.0,750.0,13.5,8.0,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
2734,St Hugo,39.99,Shiraz,,Barossa Valley,South Australia,2016.0,750.0,14.3,8.5,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2735,Elderton,119.99,Shiraz,Red,Barossa Valley,South Australia,2006.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2736,Kalleske,27.99,Shiraz,,Barossa Valley,South Australia,2017.0,750.0,14.5,8.6,True,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2737,Bremerton,18.8,Shiraz,,Langhorne Creek,South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2742,Paringa Estate,64.99,Pinot Noir,Red,Mornington Peninsula,Victoria,2015.0,750.0,14.0,8.3,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
2744,Bowen Estate,29.99,Shiraz,Red,Coonawarra,South Australia,2016.0,750.0,15.0,8.9,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
2746,Cullen,129.99,Merlot,,Margaret River,Western Australia,2016.0,750.0,12.5,,True,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
2747,Lindeman's,17.99,Cabernet Sauvignon,,,,2017.0,750.0,13.5,8.0,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2749,Wirra Wirra,28.99,Shiraz,,McLaren Vale,South Australia,2016.0,750.0,,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2750,Peter Lehmann,16.99,Cabernet Sauvignon,,Barossa Valley,South Australia,2014.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2751,Secret Selection,26.99,Shiraz,Red,McLaren Vale,South Australia,2017.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2752,Jim Barry,17.99,Cabernet Sauvignon,,Clare Valley,South Australia,2016.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2753,Cleanskin,8.99,Shiraz,,Heathcote,Victoria,2018.0,750.0,13.5,,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2755,Scotchmans Hill,31.99,Shiraz,Red,Geelong,Victoria,2013.0,750.0,,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2756,Grant Burge,21.99,Shiraz,,Barossa Valley,South Australia,2016.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2758,Reynella,51.99,Shiraz,Red,McLaren Vale,South Australia,2010.0,750.0,14.0,8.3,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
2759,Penfolds,750.0,Shiraz,Red,Barossa Valley,South Australia,2001.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Cork,Exceptional
2760,Penfolds,149.99,Shiraz,Red,Adelaide,South Australia,2009.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Cork,Excellent
2761,Lindeman's,5.4,Merlot,,,South Australia,2017.0,750.0,13.0,7.7,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
2762,Gossips,4.49,Cabernet Sauvignon,Red,Riverina,New South Wales,2018.0,750.0,12.5,7.4,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2763,Houghton,9.95,Merlot,Red,,Western Australia,2015.0,750.0,13.5,8.0,Not specified,Not specified,Not specified,Dry,Screw Cap,Not specified
2765,Evans & Tate,13.9,Cabernet Sauvignon,Red,Margaret River,Western Australia,2010.0,750.0,,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2766,Vasse Felix,49.99,Cabernet Sauvignon,,Margaret River,Western Australia,2009.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Excellent
2767,Leeuwin Estate,84.99,Cabernet Sauvignon,Red,Margaret River,Western Australia,2006.0,750.0,13.0,7.7,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2768,Vasse Felix,49.99,Cabernet Sauvignon,Red,Margaret River,Western Australia,2009.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Excellent
2770,Voyager Estate,44.99,Shiraz,Red,Margaret River,Western Australia,2000.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
2772,Voyager Estate,44.99,Shiraz,,Margaret River,Western Australia,2000.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
2775,Devil's Lair,49.99,Merlot,,Margaret River,Western Australia,2002.0,750.0,14.0,8.3,Not specified,Not specified,Medium Bodied,Dry,Cork,Not specified
2776,Cullen,154.99,Merlot,,Margaret River,Western Australia,1999.0,750.0,14.0,8.3,True,Not specified,Medium Bodied,Dry,Cork,Exceptional
2777,Devil's Lair,49.99,Merlot,Red,Margaret River,Western Australia,2002.0,750.0,14.0,8.3,Not specified,Not specified,Medium Bodied,Dry,Cork,Not specified
2779,Devil's Lair,58.99,Merlot,Red,Margaret River,Western Australia,2003.0,750.0,13.5,,Not specified,Not specified,Medium Bodied,Dry,Cork,Not specified
2781,Cherry Tree Hill,21.99,Cabernet Sauvignon,,,,2009.0,750.0,14.0,8.5,Not specified,Not specified,Medium Bodied,Not specified,Screw Cap,Not specified
2782,Wynns,44.99,Cabernet Sauvignon,Red,Coonawarra,South Australia,2008.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Excellent
2783,Murray Street Vineyards,110.0,Shiraz,Red,Barossa Valley,South Australia,2008.0,750.0,15.0,8.9,Not specified,Not specified,Not specified,Dry,Screw Cap,Not specified
2787,Evans & Tate,38.99,Cabernet Sauvignon,,Margaret River,Western Australia,2011.0,750.0,14.2,8.4,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2791,Taylors,33.99,Shiraz,Red,Clare Valley,South Australia,2012.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2792,Murray Street Vineyards,110.0,Shiraz,,Barossa Valley,South Australia,2008.0,750.0,15.0,8.9,Not specified,Not specified,Not specified,Dry,Screw Cap,Not specified
2797,Mayer,57.99,Cabernet Sauvignon,,Yarra Valley,Victoria,2015.0,750.0,13.5,7.7,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
2798,Merricks Estate,39.99,Pinot Noir,,Mornington Peninsula,Victoria,2011.0,750.0,,7.7,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
2799,Ten Minutes by Tractor,24.9,Pinot Noir,,Mornington Peninsula,Victoria,2015.0,750.0,,8.2,Not specified,Not specified,Light Bodied,Not specified,Screw Cap,Not specified
2800,Massena,29.99,Shiraz,,Barossa Valley,South Australia,2015.0,750.0,,8.3,Not specified,Not specified,Not specified,Dry,Screw Cap,Not specified
2803,Sidewood,62.99,Shiraz,,Adelaide Hills,South Australia,2015.0,750.0,,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2804,The Wanderer,39.99,Pinot Noir,Red,Yarra Valley,Victoria,2013.0,750.0,,7.4,Not specified,Not specified,Light Bodied,Not specified,Screw Cap,Not specified
2806,Lindeman's,64.99,Shiraz,,Coonawarra,South Australia,2010.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Excellent
2808,Hardys,14.99,Shiraz,,McLaren Vale,South Australia,2013.0,750.0,,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2809,Penfolds,52.99,Shiraz,Red,Coonawarra,South Australia,2012.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2811,Penfolds,52.99,Shiraz,,Coonawarra,South Australia,2012.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2813,Cirillo,24.99,Shiraz,Red,Barossa Valley,South Australia,2013.0,750.0,,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2815,Collector,25.99,Shiraz,Red,Canberra,New South Wales,2012.0,750.0,,8.0,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2817,Dog Ridge,10.9,Shiraz,Red,McLaren Vale,South Australia,2014.0,750.0,,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2818,Sidewood,62.99,Shiraz,Red,Adelaide Hills,South Australia,2015.0,750.0,,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2819,The Wanderer,39.99,Pinot Noir,,Yarra Valley,Victoria,2013.0,750.0,,7.4,Not specified,Not specified,Light Bodied,Not specified,Screw Cap,Not specified
2820,Crawford River,25.99,Cabernet Sauvignon,,Henty,Victoria,2016.0,750.0,,,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
2821,Lindeman's,64.99,Shiraz,Red,Coonawarra,South Australia,2010.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Excellent
2822,Coldstream Hills,49.99,Pinot Noir,Red,Yarra Valley,Victoria,2015.0,750.0,,,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
2823,Château Leamon,25.99,Shiraz,Red,Bendigo,Victoria,2009.0,750.0,,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2824,Rosemount,6.88,Shiraz,Red,,South Australia,2013.0,750.0,,7.7,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
2825,Charles Cimicky,21.88,Shiraz,Red,Barossa Valley,South Australia,2014.0,750.0,,8.6,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
2829,By Farr,66.99,Shiraz,Red,Geelong,Victoria,2010.0,750.0,,8.0,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
2831,Dog Ridge,10.9,Shiraz,Red,McLaren Vale,South Australia,2014.0,750.0,,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2832,Tomboy Hill,51.99,Pinot Noir,,Ballarat,Victoria,2008.0,750.0,,8.0,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
2833,Mayer,57.99,Cabernet Sauvignon,Red,Yarra Valley,Victoria,2015.0,750.0,13.5,7.7,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
2834,Merricks Estate,39.99,Pinot Noir,Red,Mornington Peninsula,Victoria,2011.0,750.0,,7.7,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
2835,Alkoomi,61.99,Merlot,,Great Southern,Western Australia,2007.0,750.0,,8.1,Not specified,Not specified,Not specified,Dry,Screw Cap,Not specified
2838,Château Leamon,25.99,Shiraz,,Bendigo,Victoria,2009.0,750.0,,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2839,Rosemount,6.88,Shiraz,Red,,South Australia,2013.0,750.0,,7.7,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
2840,Xabregas,22.99,Shiraz,Red,Great Southern,Western Australia,2010.0,750.0,,8.2,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2845,Hardys,16.99,Shiraz,Red,McLaren Vale,South Australia,2007.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2846,Fowles Wine,10.88,Shiraz,Red,,Victoria,2013.0,750.0,,8.5,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2847,Cirillo,24.99,Shiraz,Red,Barossa Valley,South Australia,2013.0,750.0,,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2848,Wirra Wirra,37.99,Shiraz,,McLaren Vale,South Australia,2010.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2849,Evans & Tate,38.99,Cabernet Sauvignon,,Margaret River,Western Australia,2012.0,750.0,,8.4,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2853,Wendouree,124.99,Shiraz,Red,Clare Valley,South Australia,1997.0,750.0,15.0,8.9,Not specified,Not specified,Not specified,Dry,Cork,Outstanding
2854,Tar & Roses,22.99,Shiraz,Red,Heathcote,South Australia,2010.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Dry,Screw Cap,Not specified
2855,Tahbilk,24.99,Shiraz,Red,Goulburn Valley,Victoria,2009.0,750.0,8.0,13.5,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2856,Metala,21.99,Shiraz,Red,Langhorne Creek,South Australia,2010.0,750.0,15.0,8.9,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2857,Wynns,64.99,Shiraz,Red,Coonawarra,South Australia,2009.0,750.0,13.5,,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
2858,d'Arenberg,59.99,Cabernet Sauvignon,Red,McLaren Vale,South Australia,2000.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Cork,Excellent
2859,Penfolds,300.0,Shiraz,Red,,South Australia,1987.0,750.0,13.5,,Not specified,Not specified,Full Bodied,Dry,Cork,Outstanding
2860,Peter Lehmann,139.99,Shiraz,Red,Barossa Valley,South Australia,1997.0,750.0,,,Not specified,Not specified,Full Bodied,Dry,Cork,Outstanding
