,Brand Name,Price (AUD),Variety,Type,Region,State,Vintage,Size (mL),Alcohol Volume (%),Standard Drinks,Organic,Vegan Friendly,Wine Body,Wine Style,Closure,Langtons Classified
86,Cat Amongst The Pigeons,14.6,Shiraz,Red,Barossa Valley,South Australia,2017.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
87,Red Knot,12.99,Shiraz,Red,McLaren Vale,South Australia,2016.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
89,Secret Selection,19.99,Shiraz,Red,Great Southern,Western Australia,2016.0,750.0,14.0,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
90,Torbreck,23.99,Shiraz,Red,Barossa Valley,South Australia,2017.0,750.0,15.0,8.9,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
91,Jacob's Creek,11.95,Shiraz,Red,,South Australia,2017.0,750.0,14.3,8.5,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
92,Penfolds,10.95,Cabernet Sauvignon,,,South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
93,Stonier,24.99,Pinot Noir,Red,Mornington Peninsula,Victoria,2017.0,750.0,13.0,7.7,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
94,Templeton,21.99,Shiraz,Red,Barossa Valley,South Australia,2012.0,750.0,,,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
95,Wynns,16.7,Cabernet Sauvignon,Red,Coonawarra,South Australia,2016.0,750.0,13.7,8.1,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
96,Secret Selection,74.99,Shiraz,Red,Margaret River,Western Australia,2015.0,750.0,13.0,7.7,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
97,Ulithorne,48.99,Shiraz,Red,McLaren Vale,South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
99,Bird In Hand,19.99,Pinot Noir,Red,Adelaide Hills,South Australia,2018.0,750.0,12.0,7.1,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
100,Taylors,13.95,Cabernet Sauvignon,Red,Clare Valley,South Australia,2017.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
101,Angove,64.99,Shiraz,Red,McLaren Vale,South Australia,2015.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
102,Colab and Bloom,19.95,Shiraz,Red,Barossa Valley,South Australia,2016.0,750.0,14.5,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
104,St Hallett,139.99,Shiraz,Red,Various,South Australia,2012.0,750.0,13.8,8.2,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
105,Secret Selection,19.99,Shiraz,,McLaren Vale,South Australia,2016.0,750.0,14.0,8.3,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
106,St Hugo,39.95,Cabernet Sauvignon,,Coonawarra,South Australia,2015.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Excellent
107,Taylors,23.9,Shiraz,Red,,South Australia,2017.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
108,Yarra Yering,99.99,Pinot Noir,,Yarra Valley,Victoria,2015.0,750.0,13.5,8.0,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
109,Riposte,18.89,Pinot Noir,,Adelaide Hills,South Australia,2017.0,750.0,13.5,,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
110,St Hallett,16.99,Shiraz,Red,Barossa Valley,South Australia,2017.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
111,Yalumba,124.99,Shiraz,,Eden Valley,South Australia,2010.0,750.0,13.5,,Not specified,True,Not specified,Not specified,Cork,Not specified
114,Secret Selection,74.99,Shiraz,Red,Margaret River,Western Australia,2016.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
119,Mount Stapylton,44.99,Shiraz,Red,Grampians,Victoria,2014.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
121,Penfolds,109.99,Shiraz,Red,,South Australia,2012.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Outstanding
122,Ninth Island,16.95,Pinot Noir,Red,Northern Tasmania,Tasmania,2017.0,750.0,13.5,8.0,Not specified,Not specified,Light Bodied,Dry,Screw Cap,Not specified
124,Brothers in Arms,20.99,Shiraz,Red,Langhorne Creek,South Australia,2014.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
125,Hollick,29.99,Cabernet Sauvignon,Red,Coonawarra,South Australia,2016.0,750.0,14.0,8.3,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
126,Punt Road,27.99,Cabernet Sauvignon,,Yarra Valley,Victoria,2017.0,750.0,13.0,7.7,Not specified,Not specified,Full Bodied,Dry,Not specified,Not specified
127,Mad Dog,27.99,Shiraz,Red,Barossa Valley,South Australia,2014.0,750.0,,8.3,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
