,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Region,Langtons Classified,Price Option 4,Price Option 5
69,13.50%,Wynns,Cork,Australia,1998,John Riddoch Cabernet Sauvignon 1998 Magnum 1.5L,$370.00 per bottle,,,,1.5L,15.4,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Coonawarra,Exceptional,,
70,13.4% (2013),Glaetzer-Dixon,Screw Cap,Australia,2013*,Rêveur Pinot Noir,$37.88 in any six,$227.28 per case of 6,$37.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.0 (2013),Tasmania,Pinot Noir,Light Bodied,Dry,,,,
71,14.50%,d'Arenberg,Screw Cap,Australia,,Laughing Magpie Shiraz Viognier 2008 Magnum 1.5L,$75.99 in any six,$227.97 per case of 3,$79.99 per bottle,,1.5L,17.2,South Australia,Shiraz Viognier,,Dry,McLaren Vale,,,
72,14.40%,d'Arenberg,Screw Cap,Australia,,d'Arry's Original Shiraz Grenache 2010,$24.99 per bottle,$285.00 per case of 12,$23.75 in any six,,750mL,8.5,South Australia,Shiraz Grenache,,Dry,McLaren Vale,,,
73,13.50%,d'Arenberg,Cork,Australia,2002,Dead Arm Shiraz 2002 Magnum 1.5L,$249.99 per bottle,,,,1.5L,16,South Australia,Shiraz,Full Bodied,Dry,McLaren Vale,,,
74,13.00%,Wynns,Cork,Australia,,John Riddoch Cabernet Sauvignon 1993,$174.99 per bottle,,,,750mL,7.7,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Coonawarra,,,
75,13.50%,Penfolds,Cork,Australia,,Bin 707 1993 Magnum 1.5L,"$1,150.00 per bottle",,,,1.5L,16,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
76,13.50%,Penfolds,Cork,Australia,,Bin 28 Shiraz 1988,$99.99 per bottle,,,,750mL,8,South Australia,Shiraz,Full Bodied,Dry,,,,
77,12.80%,Penfolds,Cork,Australia,,Bin 820 Cabernet Sauvignon Shiraz 1982,$239.00 per bottle,,,,750mL,7.6,South Australia,Cabernet Sauvignon Shiraz,Full Bodied,Dry,Coonawarra,,,
78,13.80%,Kay Brothers Amery Vineyards,Screw Cap,Australia,,Hillside Shiraz 2002,$43.99 per bottle,,,,750mL,8.2,South Australia,Shiraz,Full Bodied,Dry,McLaren Vale,,,
79,14.50%,Penfolds,Cork,Australia,,Magill Estate Shiraz 2015,$109.00 per bottle,Ranked 1 of 44 Shiraz from Adelaide Hills,,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
80,14.50%,Reynella,Screw Cap,Australia,,Basket Press Shiraz 2009,$56.99 in any six,$341.94 per case of 6,$59.99 per bottle,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,McLaren Vale,,,
81,14.50%,Shingleback,Screw Cap,Australia,,Davey Estate Shiraz 2010,$30.39 in any six,$182.34 per case of 6,$31.99 per bottle,Ranked 63 of 136 Shiraz from McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,McLaren Vale,,,
82,13.5% (2010),Wynns,Screw Cap,Australia,2010,Messenger Cabernet Sauvignon 2010,$44.90 in any six,$269.40 per case of 6,$44.90 per bottle,Ranked 1 of 49 Cabernet Sauvignon from Coonawarra,750mL,8.0 (2010),South Australia,Cabernet Sauvignon,Full Bodied,Dry,Coonawarra,,,
83,13.5%,Riposte,Screw Cap,Australia,2016,The Sabre Pinot Noir 2016,$29.50 in any six,$354.00 per case of 12,$30.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8,South Australia,Pinot Noir,Light Bodied,Dry,Adelaide Hills,,Ranked 15 of 46 Pinot Noir from Adelaide Hills,
84,13.5%,Bendbrook,Screw Cap,Australia,2015,Section 19 Cabernet Sauvignon,$56.10 in any six,$673.20 per case of 12,$58.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8,South Australia,,,,Adelaide Hills,,,
85,14.0% (2012),Tolley,Screw Cap,Australia,2012*,Watercolour Cabernet Sauvignon,$8.55 in any six,$50.70 per case of 6,$8.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3 (2012),South Australia,Cabernet Sauvignon,Full Bodied,Dry,Coonawarra,,,
86,14.50%,St Hugo,Screw Cap,Australia,,Shiraz 2012,$38.00 in any six,$228.00 per case of 6,$39.99 per bottle,Ranked 90 of 153 Shiraz from Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Barossa Valley,,,
87,14.0%,Henschke,Screw Cap,Australia,2013,Cyril Henschke Cabernet Sauvignon,$142.50 in any six,$855.00 per case of 6,$149.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Eden Valley,Outstanding,,
88,14.5% (2010),Laughing Jack,Screw Cap,Australia,2010*,Greenock Shiraz,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,8.6 (2010),South Australia,Shiraz,Full Bodied,Dry,Barossa Valley,,,
89,14.50%,Penfolds,Screw Cap,Australia,2007,Bin 128 Shiraz 2007,$57.00 in any six,$342.00 per case of 6,$59.99 per bottle,Ranked 2 of 16 Shiraz from Limestone Coast,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Coonawarra,Excellent,,
90,14.50%,Clarendon Hills,Cork,Australia,2007,Grenache “Romas Vineyard” 2007,$108.99 per bottle,,,,750mL,8.6,South Australia,Grenache,Medium Bodied,Dry,McLaren Vale,,,
91,14.5% (2006),Clarendon Hills,Cork,Australia,2006*,Blewitt Springs Grenache,$78.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.6 (2006),South Australia,Grenache,Medium Bodied,Dry,McLaren Vale,,,
92,14.50%,Penfolds,Screw Cap,Australia,2006,Bin 707 Cabernet Sauvignon 2006,$599.00 per bottle,Ranked 74 of 140 Cabernet Sauvignon from South Australia,,,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,Exceptional,,
93,14.00%,Seppelt,Screw Cap,Australia,2007,Chalambar Shiraz 2007,$28.49 in any six,$170.94 per case of 6,$29.99 per bottle,Ranked 4 of 32 Shiraz from Central Victoria,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,,,,
94,14.00%,Katnook Estate,Cork,Australia,2000,Cabernet Sauvignon 2000,$74.99 per bottle,,,,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Coonawarra,Excellent,,
95,14.50%,Fox Creek,Screw Cap,Australia,2004,Reserve Shiraz 2004,$79.99 per bottle,,,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,McLaren Vale,Excellent,,
96,13.0%,William Downie,Wax Sealed Cork,Australia,2015*,Gippsland Pinot Noir,$67.50 in any six,$405.00 per case of 6,$70.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Victoria,Pinot Noir,Light Bodied,Dry,Gippsland,,Ranked 8 of 18 Pinot Noir from Gippsland,
97,14.50%,Clarendon Hills,Cork,Australia,2006,Brookman Syrah 2009,$106.99 per bottle,,,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,McLaren Vale,,,
98,14.50%,Majella,,Australia,,Cabernet Sauvignon 2008,$56.99 in any six,$59.99 per bottle,Ranked 21 of 44 Cabernet Sauvignon from Coonawarra,,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Coonawarra,,,
99,14.50%,Chris Ringland,Cork,Australia,,Dry Grown Shiraz 2001,"$1,500.00 per bottle",,,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Barossa Valley,,,
