,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 4,Price Option 5,Langtons Classified,Vegan Friendly,Organic
85,13.9%,Gramp's,Screw Cap,Australia,2016*,Cabernet Merlot,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.2,South Australia,Cabernet Merlot,Medium Bodied,Dry,,,,,
86,13.50%,Grant Burge,Cork,Australia,,Meshach Shiraz 2005,$162.99 per bottle,Ranked 15 of 112 Shiraz from Barossa Valley,,,Barossa Valley,750mL,8,South Australia,Shiraz,Full Bodied,Dry,,,,,
87,14.5% (2015),Torbreck,,Australia,2015*,Woodcutter's Shiraz Magnum 1.5L,$54.20 in any six,$325.20 per case of 6,$56.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,1.5L,17.2 (2015),South Australia,Shiraz,Full Bodied,Dry,,,,,
88,14%,SC Pannell Dead End,,Australia,2017,Tempranillo,$26.60 in any six,$319.20 per case of 12,$27.99 per bottle,,McLaren Vale,750mL,8.3,South Australia,Tempranillo,,,,,,,
89,14%,Hardys,Screw Cap,Australia,2012,Oomoo Shiraz 2012,$20.00 in any six,$120.00 per case of 6,$20.99 per bottle,"Awards: Hong Kong International Wine & Spirit Competition, 2013: Bronze 
San Francisco International Wine Competition, 2013: Bronze",McLaren Vale,750mL,8.3,South Australia,Shiraz,,,,,,,
90,15.26%,Bent Creek,Screw Cap,Australia,2005,Black Dog Shiraz 2017,$26.99 per bottle,$161.94 per case of 6,,,McLaren Vale,750mL,8.4,South Australia,Shiraz,,,,,,,
91,14.0%,Quattro Mano,Screw Cap,Australia,2015*,Novillo Tempranillo,$16.15 in any six,$193.80 per case of 12,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.3,South Australia,Tempranillo,Full Bodied,Dry,,,,,
92,14.5%,Baily & Baily,Screw Cap,Australia,2017*,Venture Series Merlot,$9.50 in any six,$57.00 per case of 6,$9.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Merlot,Medium Bodied,Dry,,,,,
93,,,,,,Unknown,,,,,,,,,,,,,,,,
94,13.5%,Banrock Station,Cask Closure,Australia,Non Vintage*,Shiraz Cabernet Cask 2L,$11.95 each,$68.40 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,2L,21.0,South Australia,Shiraz Cabernet,,Dry,,,,,
95,12.5% (2017),Poole's Rock,Screw Cap,Australia,2017*,Premiere Pinot Noir,$37.99 in any six,$227.94 per case of 6,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,7.4 (2017),South Australia,Pinot Noir,Light Bodied,Dry,,,,,
96,13%,The Mix Tape,Screw Cap,Australia,2017,Limestone Coast Rosé,$10.00 in any six,$60.00 per case of 6,$10.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.7,,Rosé,,,,,,,
97,13.50%,Parker Coonawarra Estate,Cork,Australia,1998,First Growth Cabernet Blend 1998,$159.99 per bottle,,,,Coonawarra,750mL,8,South Australia,Cabernet Blend,Medium Bodied,Dry,,,Excellent,,
98,14.0% (2009),David Traeger,Screw Cap,Australia,2009*,Shiraz,$17.09 in any six,$205.08 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Goulburn Valley,750mL,8.4 (2009),Victoria,Shiraz,Full Bodied,Dry,,,,,
99,14.5% (2016),Krondorf,Screw Cap,Australia,2016*,Founders Mile Single Vineyard Barossa Shiraz,$26.60 in any six,$159.60 per case of 6,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.6 (2016),South Australia,Shiraz,Full Bodied,Dry,,,,,
100,14.5%,Gapsted,Cork,Australia,2016*,Ballerina Canopy Durif,$26.60 in any six,$159.60 per case of 6,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",King Valley,750mL,8.6,Victoria,Durif,,Dry,,,,,
101,13.50%,Hardys,Cask Closure,Australia,,Reserve Merlot Cask 10L,$52.99 each,,,,,10L,107,,Merlot,,Dry,,,,,
102,14%,Crafters Union,Screw Cap,Australia,2016*,Shiraz,$14.30 in any six,$85.80 per case of 6,$14.99 per bottle,Awards: Gold - Melbourne International 2018,McLaren Vale,750mL,8.3,,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
103,14%,Jim Barry,Screw Cap,Australia,2016*,The Forger Shiraz,$31.40 in any six,$188.40 per case of 6,$32.99 per bottle,"Awards: Clare Valley Shiraz Trophy at the International Wine Challenge 2015, Gold Medal at the International Wine Challenge 2015",Clare Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
104,14.50%,Grant Burge,Cork,Australia,,Meshach Shiraz 2004,$156.80 in any six,$164.99 per bottle,Ranked 2 of 64 Shiraz from Barossa Valley,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,Outstanding,,
105,14.5,Vasse Felix,Screw Cap,Australia,2013,Tom Cullity Cabernet Malbec 2013,$147.30 in any six,$883.80 per case of 6,$154.99 per bottle,Ranked 1 of 36 Cabernet Sauvignon from Margaret River,Margaret River,750mL,8.6,,Cabernet Blend,,,,,,,
106,14%,Nocton Vineyard,Screw Cap,Australia,2017,Estate Merlot 2017,$25.70 in any six,$308.40 per case of 12,$26.99 per bottle,,Coal River Valley,750mL,8.3,Tasmania,Merlot,,,,,,,
107,14.0% (2014),Hewitson,Screw Cap,Australia,2014*,Miss Harry Grenache Shiraz Mourvèdre,$21.85 in any six,$262.80 per case of 12,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.3 (2014),South Australia,Grenache Shiraz Mourvèdre,Medium Bodied,Dry,,,,,
108,13.50%,Forester Estate,Screw Cap,Australia,2012,Home Block Shiraz 2012,$38.00 in any six,$456.00 per case of 12,$39.99 per bottle,,,750mL,8,Western Australia,Shiraz,Full Bodied,Dry,,,,,
109,13.5%,Warburn,Screw Cap,Australia,2017*,Premium Reserve Cabernet Merlot,$8.55 in any six,$51.30 per case of 6,$8.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.0,South Australia,Cabernet Merlot,Medium Bodied,Dry,,,,,
110,14.8%,Cockfighter's Ghost,Screw Cap,Australia,2015*,Shiraz,$17.09 in any six,$102.54 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.8,South Australia,Shiraz,Full Bodied,Dry,,,,,
111,,TraVino Wine,,Australia,,Sippy Cup in Ruby Pink,$16.95 per bottle,$101.70 per case of 6,,,,295mL,,,Sippy Cup,Full Bodied,,,,,,
112,14.5% (2015),Stanton & Killeen,Cork,Australia,2015*,Shiraz Durif,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Rutherglen,750mL,8.6 (2015),Victoria,Shiraz Durif,,Dry,,,,,
113,14.5%,Balnaves,Cork,Australia,2013*,Cabernet Sauvignon,$38.00 in any six,$208.60 per case of 6,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Ranked 14 of 56 Cabernet Sauvignon from Coonawarra,,,,
114,14.0%,Pierro,Screw Cap,Australia,2014*,LTCf Cabernet Merlot,$37.10 in any six,$445.20 per case of 12,$38.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.3,Western Australia,Cabernet Merlot,Medium Bodied,Dry,Ranked 23 of 34 Cabernet Sauvignon from Margaret River,,,,
115,13.5% (2013),Port Phillip,Screw Cap,Australia,2013*,Balnarring Pinot Noir,$36.10 in any six,$216.60 per case of 6,$37.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,8.0 (2013),Victoria,Pinot Noir,Light Bodied,Dry,Ranked 12 of 70 Pinot Noir from Mornington Peninsula,,,,
116,13,Grove Estate,Screw Cap,Australia,,"The Italian: Nebbiolo, Sangiovese, Barbera",$25.00 per bottle,$150.00 per case of 6,,,Hilltops,750ml,7.7,New South Wales,"Nebbiolo, Sangiovese, Barbera",Medium Bodied,Dry,,,,,
117,14.50%,Murray Street Vineyards,Screw Cap,Australia,,Gomersal Shiraz 2007,$71.30 in any six,$427.80 per case of 6,$75.00 per bottle,"Awards: 2 Gold - Decanter World Wine Awards 2010, Australian Small Winemakers Show 2010",Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Ranked 39 of 78 Shiraz from Barossa Valley,,,,
118,12.5%,Gapsted Wines,Screw Cap,Australia,,Tobacco Road Sangiovese Rose,$14.99 per bottle,$150.00 per case of 12,,,King Valley,750mL,7.4,Victoria,Sangiovese Rose,,,,,,,
119,13.6% (2015),Ten Minutes by Tractor,Screw Cap,Australia,2015*,Judd Pinot Noir,$74.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 54 of 102 Pinot Noir from Mornington Peninsula,,Mornington Peninsula,750mL,8.1 (2015),Victoria,Pinot Noir,Light Bodied,Dry,,,,,
