,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 4,Price Option 5,Langtons Classified,Vegan Friendly,Organic
14,14.5,Franklin Tate Estates,Screw Cap,Australia,2017,Cabernet Merlot,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.6,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,,,
15,14.5%,Pepperjack,Screw Cap,Australia,2016,Barossa SGM,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,,Barossa,750mL,8.6,South Australia,"Shiraz, Grenache, Mourvedre",,,,,,,
16,13.50%,Hardys,Cask Closure,Australia,,Reserve Shiraz Cask 10L,$52.99 each,,,,,10L,107,,Shiraz,,Dry,,,,,
17,,,,,,Unknown,,,,,,,,,,,,,,,,
18,13.5%,Paxton,Screw Cap,Australia,2017*,MV Shiraz,$19.00 in any six,$228.00 per case of 12,$19.99 per bottle,Awards: Silver Medal - International Wine & Spirit Competition 2013,McLaren Vale,750mL,8.0,South Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
19,15.5% (2010),Campbells,Cork,Australia,2010*,The Barkly Durif,$52.30 in any six,$313.80 per case of 6,$54.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Rutherglen,750mL,9.2 (2010),Victoria,Durif,,Dry,Ranked 9 of 17 Durif from Australia,,,,
20,15%,Irvine,Cork,Australia,2009*,Grand Merlot,$104.50 in any six,$627.00 per case of 6,$109.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Eden Valley,750mL,8.9,South Australia,Merlot,Medium Bodied,Dry,,,,,
21,13.30%,Stefano Lubiana,Screw Cap,Australia,2012*,Sasso Pinot Noir,$104.50 in any six,$627.00 per case of 6,$109.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.9,Tasmania,Pinot Noir,Light Bodied,Dry,Ranked 11 of 99 Pinot Noir from Tasmania,,,,
22,14.5%,Kaesler,Screw Cap,Australia,2015*,Stonehorse Grenache Shiraz,$20.89 in any six,$250.68 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.6,South Australia,Grenache Shiraz,Medium Bodied,Dry,,,,,
23,13.5% (2013),McWilliam's,Screw Cap,Australia,2013*,Stuart McWilliam Cabernet Sauvignon,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hilltops,750mL,8 (2013),New South Wales,Cabernet Sauvignon,Full Bodied,Dry,,,,,
