,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Price Option 4,Organic,Vegan Friendly,Price Option 5
14,15%,Hentley Farm,Screw Cap,Australia,2017*,The Marl Shiraz,$20.90 in any six,$125.40 per case of 6,$21.99 per bottle,Awards: Royal Sydney Wine Show – Gold – 2017 Hentley Farm The Marl Shiraz,Barossa Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
15,14.5%,Cleanskin,Screw Cap,Australia,2016*,No 71 McLaren Vale Shiraz,$8.55 in any six,$51.30 per case of 6,$8.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,
16,14.0%,Grant Burge,Screw Cap,Australia,2017,Classic Collection Merlot,$7.95 in any six,$47.70 per case of 6,$7.30 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.3,South Australia,Merlot,Medium Bodied,Dry,,,,,
17,14.2%,Turkey Flat,Screw Cap,Australia,2016,Shiraz,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.5,South Australia,Shiraz,Full Bodied,Dry,Excellent,Ranked 42 of 108 Shiraz from Barossa Valley,,,
18,12.5%,Organic Hill,Screw Cap,Australia,,Organic Preservative Free Rose,Delivery Offer$99.00 per case of 6,$25.00 per bottle,$150.00 per case of 6,,Riverland,750mL,7.4,South Australia,Nero D'Avola Rose,Medium Bodied,Semi Dry,,,true,true,
19,13.9,Organic Hill,Screw Cap,Australia,,Founders Release Cabernet Sauvignon,Delivery Offer$150.00 per case of 6,$50.00 per bottle,$300.00 per case of 6,,McLaren Vale,750mL,8,South Australia,Cabernet Sauvignon,Medium Bodied,Dry,,,true,true,
20,14.0% (2015),Cleanskin,Screw Cap,Australia,2015*,No 01 Adelaide Hills Pinot Noir,$9.49 in any six,$56.94 per case of 6,$9.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,8.3 (2015),South Australia,Pinot Noir,Light Bodied,Dry,,,,,
21,14.5%,Chapel Hill,Screw Cap,Australia,2016*,The Vicar Shiraz,$59.95 in any six,$359.70 per case of 6,$59.95 per bottle,"Awards: Gold Medal – Decanter World Wine Awards 2018
Gold Medal – International Wine Challenge UK 2018",McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Ranked 7 of 107 Shiraz from McLaren Vale
22,14.5%,Parker Coonawarra Estate,Screw Cap,Australia,2016*,Coonawarra Series Shiraz,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,Awards: Gold - Limestone Coast Wine Show 2017,Coonawarra,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Ranked 10 of 19 Shiraz from Coonawarra
23,13.5%,Taylors,Screw Cap,Australia,2016*,Discoveries Cabernet Sauvignon,$12.40 in any six,$74.40 per case of 6,$12.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Limestone Coast,750mL,8.0,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
