,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Langtons Classified,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 1,Price Option 2,Price Option 3,Organic,Price Option 4,Price Option 5
89,15.00%,Wendouree,Cork,Australia,1997,Outstanding,Shiraz Mataro 1997,$124.99 per bottle,Clare Valley,750mL,8.9,South Australia,Shiraz Mataro,,Dry,,,,,,
90,14.50%,Tar & Roses,Screw Cap,Australia,,,Shiraz 2010,$21.85 in any six,Heathcote,750mL,8.6,South Australia,Shiraz,,Dry,$131.10 per case of 6,$22.99 per bottle,Ranked 19 of 40 Shiraz from Heathcote,,,
91,8.00%,Tahbilk,Screw Cap,Australia,2009,,Shiraz 2009,$23.75 in any six,Goulburn Valley,750mL,13.5,Victoria,Shiraz,Full Bodied,Dry,$142.50 per case of 6,$24.99 per bottle,Ranked 29 of 53 Shiraz from Central Victoria,,,
92,15.00%,Metala,Screw Cap,Australia,,,Shiraz Cabernet 2010,$20.90 in any six,Langhorne Creek,750mL,8.9,South Australia,Shiraz Cabernet,Full Bodied,Dry,$125.40 per case of 6,$21.99 per bottle,Awards: Gold Medal - Royal Queensland Wine Show 2012,,Ranked 1 of 27 Shiraz from Fleurieu,
93,13.50%,Wynns,Screw Cap,Australia,,,V&A Lane Shiraz 2009,$61.80 in any six,Coonawarra,750mL,8,South Australia,Shiraz,Full Bodied,Dry,$370.80 per case of 6,$64.99 per bottle,Awards: Gold Medal - Royal Queensland Wine Show 2010,,Ranked 6 of 20 Shiraz from Coonawarra,
94,14.50%,d'Arenberg,Cork,Australia,2000,Excellent,The Coppermine Road Cabernet Sauvignon 2000,$59.99 per bottle,McLaren Vale,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Ranked 9 of 20 Cabernet Sauvignon from Australia,,,,,
95,13.50%,Penfolds,Cork,Australia,1987,Outstanding,St Henri Shiraz 1987,$300.00 per bottle,,750mL,8,South Australia,Shiraz,Full Bodied,Dry,,,,,,
96,,Peter Lehmann,Cork,Australia,1997,Outstanding,Stonewell Shiraz 1997,$139.99 per bottle,Barossa Valley,750mL,,South Australia,Shiraz,Full Bodied,Dry,,,,,,
97,13.50%,Petaluma,Cork,Australia,1997,Excellent,Coonawarra 1997,$69.99 per bottle,Coonawarra,750mL,8,South Australia,Red Blend,,Dry,,,,,,
98,13.50%,Bindi,Cork,Australia,2006,Outstanding,Block 5 Pinot Noir 2006,$174.99 per bottle,Macedon Ranges,750mL,8,Victoria,Pinot Noir,Light Bodied,Dry,Ranked 84 of 107 Pinot Noir from Port Phillip,,,,,
99,16.00%,Noon,Cork,Australia,2002,Outstanding,Reserve Shiraz 2002,$143.99 per bottle,Langhorne Creek,750mL,9,South Australia,Shiraz,Full Bodied,Dry,,,,,,
100,13.00%,Henschke,Cork,Australia,1990,Outstanding,Cyril Henschke Cabernet Sauvignon 1990,$169.99 per bottle,Eden Valley,750mL,7.7,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,
101,14.50%,Peter Lehmann,Screw Cap,Australia,2007,Outstanding,Stonewell Shiraz 2007,$99.99 per bottle,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Ranked 41 of 78 Shiraz from Barossa Valley,,,,,
102,15.00%,Torbreck,Cork,Australia,,Exceptional,RunRig Shiraz 1997,$314.99 per bottle,Barossa Valley,750mL,8.9,South Australia,Shiraz,,Dry,,,,,,
103,13.00%,Lake's Folly,Cork,Australia,1997,Excellent,Cabernets 1997,$139.99 per bottle,Hunter Valley,750mL,7.7,New South Wales,Cabernet Blends,,Dry,,,,,,
104,14.50%,Turkey Flat,Cork,Australia,2005,,Shiraz 2005,$69.99 per bottle,Barossa Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,Ranked 47 of 112 Shiraz from Barossa Valley,,,,,
105,14.00%,Barwang,Screw Cap,Australia,,,Shiraz 2010,$22.99 per bottle,Hilltops,750mL,8.3,New South Wales,Shiraz,Full Bodied,Dry,$131.40 per case of 6,$21.90 in any six,Awards: Gold Medal - Rutherglen Wine Show 2011,,,
