,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Price Option 5,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Organic,Vegan Friendly
37,14.0% (2012),Cirillo,Screw Cap,Australia,2012*,1850s Grenache,$61.80 in any six,$370.80 per case of 6,$64.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 1 of 37 Grenache from Barossa Valley,,Barossa Valley,750mL,8.3 (2011),South Australia,Grenache,Medium Bodied,Dry,,,
38,14%,Grant Burge,Screw Cap,Australia,2016,Berryfield Shiraz,$24.99 per bottle,$142.50 per case of 6,$23.75 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,
39,14.5%,Take It To The Grave,Screw Cap,Australia,2017*,Shiraz,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,"Langhorne Creek, Barossa Valley",750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,
40,,,,,,Unknown,,,,,,,,,,,,,,,,
41,13.5%,Cleanskin,Screw Cap,Australia,2013*,Cabernet Merlot,$5.69 in any six,$34.14 per case of 6,$5.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,8,,Cabernet Merlot,Medium Bodied,Dry,,,
42,14.5%,O'Leary Walker,Screw Cap,Australia,2015*,Blue Cutting Road Cabernet Merlot,$12.40 in any six,$74.40 per case of 6,$12.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Clare Valley,750mL,8.6,South Australia,Cabernet Merlot,Medium Bodied,Dry,,,
43,13.3% (2017),Botobolar,Screw Cap,Australia,2017*,Preservative Free Shiraz,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Mudgee,750mL,7.9 (2017),New South Wales,Shiraz,Full Bodied,Dry,,true,
44,14.5%,Brown Brothers,Screw Cap,Australia,2015,Ten Acres Shiraz Cabernet,$14.20 in any six,$85.20 per case of 6,$14.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Western Victoria,750mL,8.6,Victoria,Shiraz Cabernet,Full Bodied,Dry,,,
45,13.5%,Innocent Bystander,Screw Cap,Australia,2017*,Syrah,$21.85 in any six,$131.10 per case of 6,$22.99 per bottle,Awards: Trophy - Yarra Valley Wine Show 2015. Top Gold - Yarra Valley Wine Show 2015,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,8.0,Victoria,Syrah,Full Bodied,Dry,,,
46,11,Bird In Hand,Cork,Australia,,Pinot Nero Rosé,$30.00 per bottle,$170.00 per case of 6,,,,,Adelaide Hills,750mL,6.5,,Pinot Noir,Light Bodied,,,,
47,12.5%,McGuigan,Screw Cap,Australia,2018*,The Plan Malbec,$9.50 in any six,$57.00 per case of 6,$9.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,7.4,South Australia,Malbec,,Dry,,,
