,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 2,Price Option 3,Langtons Classified,Price Option 4,Organic
44,12.00%,Banrock Station,Screw Cap,Australia,Non Vintage,White Shiraz,$5.88 in any six,$35.28 per case of 6,,750mL,7.1,,Shiraz,Light Bodied,Dry,$5.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
45,14.00%,Lindeman's,Screw Cap,Australia,,Coonawarra Trio Pyrus Cabernet Blend 2013,$39.99 per bottle,Ranked 15 of 19 Cabernet Sauvignon from Limestone Coast,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
46,13.0% (2016),Jericho,Screw Cap,Australia,2016*,Adelaide Hills Tempranillo,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,7.7 (2016),South Australia,Tempranillo,Full Bodied,Dry,Ranked 6 of 26 Tempranillo from South Australia,,,,
47,13.00%,Penfolds,Cork,Australia,,Bin 707 Cabernet Sauvignon 1988 Magnum 1.5L,"$1,150.00 per bottle",,,1.5L,14.8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,Exceptional,,
48,14.50%,Cape Margaret,Screw Cap,Australia,2014*,Cabernet Sauvignon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,8.6,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
49,14.50%,Cape Margaret,Screw Cap,Australia,2014*,Cabernet Sauvignon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,8.6,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
50,13.9% (2014),Home Hill,Screw Cap,Australia,2014*,Estate Pinot Noir,$40.90 in any six,$490.80 per case of 12,,750mL,8.2 (2014),Tasmania,Pinot Noir,Light Bodied,Dry,$42.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 15 of 89 Pinot Noir from Tasmania,
51,14.20%,Clarendon Hills,Cork,Australia,2012*,Clarendon Grenache,$69.40 in any six,$416.40 per case of 6,McLaren Vale,750mL,8.4,South Australia,Grenache,Medium Bodied,Dry,$72.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
52,14.5%,First Drop,Screw Cap,Australia,2015*,Under the Gun Barbera,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Adelaide Hills,750mL,8.6,South Australia,Barbera,,Dry,,,,,
53,15.00%,Bass Phillip,Cork,Australia,,Gamay 2013,$52.30 in any six,$313.80 per case of 6,Gippsland,750mL,8,Victoria,Gamay,Light Bodied,Dry,$55.00 per bottle,,,,
54,15.00%,Bass Phillip,Cork,Australia,,Gamay 2013,$52.30 in any six,$313.80 per case of 6,Gippsland,750mL,8,Victoria,Gamay,Light Bodied,Dry,$55.00 per bottle,,,,
55,14.0% (2014),Narkoojee,Screw Cap,Australia,2014*,Reserve Pinot Noir,$44.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Gippsland,750mL,8.3 (2014),Victoria,Pinot Noir,Light Bodied,Dry,,,,,
56,13.0% (2016),Even Keel,Screw Cap,Australia,2016*,Rosé,$26.60 in any six,$319.20 per case of 12,Heathcote,750mL,7.7 (2016),Victoria,,Light Bodied,Dry,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
57,13.5% (2015),Even Keel,,Australia,2015*,Pinot Noir,$33.30 in any six,$399.60 per case of 12,Mornington Peninsula,750mL,8 (2015),Victoria,Pinot Noir,Light Bodied,Dry,$34.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
58,13.5% (2015),Even Keel,Screw Cap,Australia,2015*,Syrah,$33.30 in any six,$399.60 per case of 12,Canberra District,750mL,8 (2015),Australian Capital Territory,Syrah,Full Bodied,Dry,$34.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 6 of 15 Shiraz from Canberra District,
59,13.50%,Wendouree,Cork,Australia,1998,Shiraz Malbec 1998,$149.99 per bottle,,Clare Valley,750mL,8,South Australia,Shiraz Malbec,,Dry,,,Outstanding,,
60,13.7% (2012),Hither & Yon,Screw Cap,Australia,2012*,Cabernet Petit Verdot,$20.90 in any six,$125.40 per case of 6,McLaren Vale,750mL,8.1 (2012),South Australia,Petit Verdot,,Dry,$20.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 9 of 21 Cabernet Sauvignon from Fleurieu,
61,14.5% (2010),Saltram,Screw Cap,Australia,2010*,Single Vineyard Moculta Road Shiraz,$74.10 in any six,$444.60 per case of 6,Eden Valley,750mL,8.6 (2010),South Australia,Shiraz,Full Bodied,Dry,$77.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 13 of 141 Shiraz from Barossa Valley,
62,13.50%,Mayer,Cork,Australia,,Syrah 2015,$56.99 per bottle,,Yarra Valley,750mL,7.7,Victoria,Syrah,Full Bodied,Dry,,,,,
63,12.40%,Lake's Folly,Cork,Australia,1994,Cabernets 1994,$144.99 per bottle,,Hunter Valley,750mL,7.3,New South Wales,Cabernet Blends,,Dry,,,Excellent,,
64,14.50%,Penfolds,Screw Cap,Australia,,RWT Barossa Valley Shiraz 2010,Ranked 20 of 141 Shiraz from Barossa Valley,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,Outstanding,,
65,14.0% (2015),Yabby Lake,Screw Cap,Australia,2015*,Single Vineyard Syrah,$36.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,8.3 (2015),Victoria,Shiraz,Full Bodied,Dry,Ranked 10 of 50 Shiraz from Port Phillip,,,,
66,15.00%,Henschke,Screw Cap,Australia,,Tappa Pass Shiraz 2009,$99.99 per bottle,Ranked 64 of 122 Shiraz from Barossa,Barossa Valley,750mL,9,South Australia,Shiraz,Full Bodied,Dry,,,,,
67,14.0% (2012),Brand X,Screw Cap,Australia,2012*,Red Blend,$16.20 in any six,$97.20 per case of 6,Langhorne Creek,750mL,8.3 (2012),South Australia,Shiraz Cabernet Sauvignon,,Dry,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
68,14.2%,Quealy,Screw Cap,Australia,2016*,Tussie Mussie Pinot Noir,$28.50 in any six,$171.00 per case of 6,Mornington Peninsula,750mL,8.3,Victoria,Pinot Noir,Light Bodied,Dry,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
69,14.5% (2011),Teusner,Screw Cap,Australia,2011*,Eden Valley Cabernet Sauvignon,$28.40 in any six,$170.40 per case of 6,Eden Valley,750mL,8.6 (2011),South Australia,Cabernet Sauvignon,Full Bodied,Dry,$29.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 7 of 15 Cabernet Sauvignon from Barossa,
70,14.5% (2010),Saltram,Screw Cap,Australia,2010*,Single Vineyard Moculta Road Shiraz,$74.10 in any six,$444.60 per case of 6,Eden Valley,750mL,8.6 (2010),South Australia,Shiraz,Full Bodied,Dry,$77.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 13 of 141 Shiraz from Barossa Valley,
71,14.30%,Laurance,,Australia,,Shiraz 2014,,,Margaret River,,8.5,,Shiraz,Full Bodied,Dry,,,,,
72,14.50%,Xanadu,Screw Cap,Australia,,Next of Kin Shiraz 2010,$17.10 in any six,$102.60 per case of 6,Margaret River,750mL,8.6,Western Australia,Shiraz,Full Bodied,Dry,$17.99 per bottle,"Awards: Trophy - Commercial Classes Best Dry Red - Dan Murphy's  National Wine Show, Canberra 2011. 2 Top Gold Medals - Margaret River Wine Show 2011, Dan Murphy's  National Wine Show, Canberra 2011. Gold Medal - VISY, Great Australian Shiraz Challenge 2011",,Ranked 17 of 28 Shiraz from Margaret River,
73,14.50%,Wolf Blass,Screw Cap,Australia,,Gold Label Shiraz 2010,$27.55 in any six,$165.30 per case of 6,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,$28.99 per bottle,Awards: Gold - China Wine & Spirit Awards 2013,,,
74,14.0% (2014),Hardys,Screw Cap,Australia,2014*,William Hardy Shiraz,Awards: Trophy - McLaren Vale Wine Show 2015. Gold - McLaren Vale Wine Show 2015,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.3 (2014),South Australia,Shiraz,Full Bodied,Dry,,,,,
