,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Current Vintage,Vegan Friendly,Price Option 3,Price Option 4,Langtons Classified,Organic
31,15,Currency Creek Estate,Cork,Australia,Ostrich Hill Shiraz 2014,$39.00 per bottle,$234.00 per case of 6,"Awards: Bronze  Sydney International Wine Show 2016
Bronze Adelaide Royal Wine Show 2015
5 Stars Winestate Magazine New Releases Nov/Dec 2015 Equal Top in Catagory
92 Points James Halliday",Currency Creek,750mL,8.9,FRE,Shiraz,Full Bodied,,Cork,,Dry Red,,,
32,15.5%,Shaw Family Vintners,Cork,Australia,The Figurehead Shiraz 2012,$100.00 per bottle,$300.00 per case of 3,Awards: 4.5 Stars Wine State Magazine New Release June 2017,McLaren Vale,750mL,9.2,South Australia,Shiraz,Full Bodied,Dry,,,,,,
33,16%,Shaw Family Vintners,Cork,Australia,Rusty Plough Single Vineyard Grenache 2013,$39.50 per bottle,$237.00 per case of 6,Awards: 94 Points James Halliday Australian Wine Companion,McLaren Vale,750mL,9.3,South Australia,Grenache,,Dry,,,,,,
34,13.5%,Tyrrell's,Screw Cap,Australia,Vat 9 Hunter Shiraz 2007,$160.60 in any six,$963.60 per case of 6,$169.00 per bottle,Hunter Valley,750mL,8,New South Wales,Shiraz,Full Bodied,Dry,2007,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 2 of 46 Shiraz from Lower Hunter,,
35,14%,Adelina,Screw Cap,Australia,Shiraz Mataro,$27.60 in any six,$165.60 per case of 6,$28.99 per bottle,Clare Valley,750mL,8.3,South Australia,,,,2017,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
36,14.5%,Mitolo,Screw Cap,Australia,GAM McLaren Vale Shiraz 2008,$68.40 in any six,$410.40 per case of 6,$71.99 per bottle,McLaren Vale,750mL,8.6,South Australia,Shiraz,,,2008,,,,,
37,12.50%,Mount Mary,Cork,Australia,Quintet 1992,$249.99 per bottle,,,Yarra Valley,750mL,7.4,Victoria,Red Blend,,Dry,1992,,,,Exceptional,
38,14.00%,Clonakilla,Cork,Australia,Shiraz Viognier 2004,$179.99 per bottle,Ranked 2 of 61 Shiraz from Australia,,Canberra District,750mL,8.3,New South Wales,Shiraz Viognier,,Dry,2004,,,,Exceptional,
39,13.50%,Dalwhinnie,Cork,Australia,Moonambel Shiraz 1998,$129.99 per bottle,Ranked 5 of 33 Shiraz from Australia,,Pyrenees,750mL,8,Victoria,Shiraz,Full Bodied,Dry,1998,,,,Excellent,
40,,,,,Unknown,,,,,,,,,,,,,,,,
41,13.2% (2009),Capital Wines,Screw Cap,Australia,Kyeema Vineyard Shiraz,$51.29 in any six,$307.74 per case of 6,$53.99 per bottle,Canberra District,750mL,7.8 (2009),New South Wales,Shiraz,Full Bodied,Dry,2009*,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 21 of 26 Shiraz from Southern New South Wales,,
42,13.80%,Henschke,Cork,Australia,Hill of Grace Shiraz 1996,$899.00 per bottle,Ranked 4 of 20 Shiraz from Australia,,Eden Valley,750mL,8.2,South Australia,Shiraz,Full Bodied,Dry,1996,,,,Exceptional,
43,13.80%,Henschke,Cork,Australia,Hill of Grace Shiraz 1996,$899.00 per bottle,Ranked 4 of 20 Shiraz from Australia,,Eden Valley,750mL,8.2,South Australia,Shiraz,Full Bodied,Dry,1996,,,,Exceptional,
