,Alcohol Volume,Brand Name,Closure,Country,Langtons Classified,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Style,Current Vintage,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Wine Body,Vegan Friendly
52,12.0% (2012),Yalumba,Screw Cap,Australia,,Christobel's Classic Dry White,$13.30 in any six,,750mL,7.1 (2012),South Australia,White Blend,Dry,2012*,$79.20 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,true
53,9.5% (2016),Evans & Tate,Screw Cap,Australia,,Cloud Dancer Sauvignon Blanc,$13.30 in any six,,750mL,5.6 (2016),Western Australia,Sauvignon Blanc,Dry,2016*,$79.80 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
54,13.5% (2007),Clyde Park,Screw Cap,Australia,,Chardonnay,$26.59 in any six,Bannockburn,750mL,8 (2007),Victoria,Chardonnay,Dry,2007*,$315.75 per case of 12,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
55,13.00%,Mitchelton,Screw Cap,Australia,,Blackwood Park Riesling 2003,$15.15 in any six,Goulburn Valley,750mL,7.7,Victoria,Riesling,Dry,2003,$179.35 per case of 6,$15.99 per bottle,,,,
56,11.0% (Non Vintage),Cleanskin,Screw Cap,Australia,,No 80 Botrytis Semillon 375mL,$5.60 in any six,,375mL,3.2 (Non Vintage),,Semillon,Sweet,Non Vintage*,$67.20 per case of 12,$5.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
57,12.5%,Trip Notes,,Australia,,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.4,,Chardonnay,,2016*,,,,,,
58,12%,Yalumba,Cask Closure,Australia,,Classic Dry White Cask 2L,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,2L,19.0,South Australia,White Blend,Dry,Non Vintage*,,,,,,true
59,13.0% (2013),Yours Truly,Screw Cap,Australia,,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Limestone Coast,750mL,7.7 (2013),South Australia,Chardonnay,Dry,2013*,,,,,,
60,13.1%,Bimbadgen Estate,Screw Cap,Australia,,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hunter Valley,750mL,7.8,New South Wales,Chardonnay,Dry,2017*,,,,,,
61,12.50%,Penfolds,Screw Cap,Australia,,Reserve Bin A Chardonnay 2009,$104.50 in any six,Adelaide Hills,750mL,7.4,South Australia,Chardonnay,Dry,2009,$627.00 per case of 6,$110.00 per bottle,"Awards: 5 Trophies - London International Wine Challenge 2011 (including Champion White Wine). 5 Gold - Decanter World Wine Awards 2012, London International Wine Challenge 2011 & 2012, Dan Murphy's National Wine Show 2011",Ranked 1 of 37 Chardonnay from Adelaide Hills,,
62,11.50%,Peter Lehmann,,Australia,,Margaret Semillon 2003,$50.35 in any six,Barossa Valley,750mL,6.8,South Australia,Semillon,Dry,2003,$52.99 per bottle,"Awards: 2 Trophies - Royal Melbourne Wine Show 2007, New Zealand International Wine Show 2008. 6 Gold - Royal Melbourne Wine Show 2007, National Wine Show 2007, Sydney Royal Wine Show 2008, Royal Melbourne Wine Show 2008, London Internatinal Wine Challenge 2009,",Ranked 3 of 20 Sémillon from Australia,,,
63,12.0% (2011),The Individual Selection,Screw Cap,Australia,,Eden Valley Chardonnay,$11.88 in any six,Eden Valley,750mL,7.1 (2011),South Australia,Chardonnay,Dry,2011*,$71.28 per case of 6,$11.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
64,13.00%,Grosset,Screw Cap,Australia,Outstanding,Springvale Riesling 2008,$49.99 per bottle,Clare Valley,750mL,7.7,South Australia,Riesling,Dry,2008,Ranked 7 of 48 Riesling from Clare Valley,,,,,
65,13.00%,Tyrrell's,Cork,Australia,Excellent,Vat 47 Chardonnay 2002,$64.99 per bottle,Hunter Valley,750mL,7.7,New South Wales,Chardonnay,Dry,2002,,,,,,
66,14.00%,Toolangi,Screw Cap,Australia,,Reserve Chardonnay 2010,$65.60 in any six,Yarra Valley,750mL,8.3,Victoria,Chardonnay,Dry,2010,$393.60 per case of 6,$68.99 per bottle,Ranked 11 of 61 Chardonnay from Yarra Valley,,,
67,12.5% (2012),Yarra Ridge,Screw Cap,Australia,,Sauvignon Blanc,$14.88 in any six,Yarra Valley,750mL,7.4 (2012),Victoria,Sauvignon Blanc,Dry,2012*,$89.28 per case of 6,$14.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
68,12.9% (2014),Gapsted,Screw Cap,Australia,,Limited Release Petit Manseng,$12.88 in any six,King Valley,750mL,7.6 (2014),Victoria,Petit Manseng,Dry,2014*,$77.28 per case of 6,$12.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
69,12.50%,Petaluma,Screw Cap,Australia,Excellent,Hanlin Hill Riesling 2008,$34.99 per bottle,Clare Valley,750mL,7.4,South Australia,Riesling,Dry,2008,Ranked 2 of 48 Riesling from Clare Valley,,,,,
70,12.00%,Pikes,Screw Cap,Australia,,The Merle Riesling 2013,$49.40 in any six,Clare Valley,750mL,7.1,South Australia,Riesling,Dry,,$296.40 per case of 6,$51.99 per bottle,Ranked 5 of 68 Riesling from Clare Valley,,,
71,10.50%,Tyrrells,Screw Cap,Australia,,Vat 1 Semillon 2006 Museum Release,$114.99 per bottle,Hunter Valley,750mL,6.2,New South Wales,Semillon,Dry,,Awards: The White Wine of Provenance Trophy 2017 National Wine Show of Australia,,,,,
