,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Region,Size,Standard Drinks,Varietal,Wine Style,State,Price Option 2,Wine Body,Vegan Friendly,Price Option 3,Price Option 4,Price Option 5,Langtons Classified,Organic
58,14.50%,Oliver's Taranga Vineyards,Screw Cap,Australia,,Shiraz 2009,$39.99 per bottle,$455.88 per case of 6,McLaren Vale,750mL,8.6,Shiraz,Dry,South Australia,$37.99 in any six,Full Bodied,,Ranked 7 of 81 Shiraz from McLaren Vale,,,,
59,14.00%,Grant Burge,Cork,Australia,1993,Meshach Shiraz 1993,$196.99 per bottle,Ranked 8 of 15 Shiraz from Australia,Barossa Valley,750mL,8.3,Shiraz,Dry,South Australia,,Full Bodied,,,,,Outstanding,
60,13.9%,Wills Domain,Screw Cap,Australia,2016,Single Vineyard Block 3 Cabernet Sauvignon 2016,$34.20 in any six,$205.20 per case of 6,Margaret River,750mL,8.2,Cabernet Sauvignon,Dry,Western Australia,$35.99 per bottle,Full Bodied,,,,,,
61,13.9%,Wills Domain,Screw Cap,Australia,2016,Single Vineyard Block 3 Cabernet Sauvignon 2016,$34.20 in any six,$205.20 per case of 6,Margaret River,750mL,8.2,Cabernet Sauvignon,Dry,Western Australia,$35.99 per bottle,Full Bodied,,,,,,
62,14%,Credaro,Screw Cap,Australia,2016,Kinship Shiraz 2016,$30.40 in any six,$182.40 per case of 6,Margaret River,750mL,8.3,Shiraz,,Western Australia,$31.99 per bottle,,,,,,,
63,14.00%,Moss Wood,Cork,Australia,1997,Cabernet Sauvignon 1997,$252.99 per bottle,,Margaret River,750mL,8.3,Cabernet Sauvignon,Dry,Western Australia,,Full Bodied,,,,,Exceptional,
64,14.50%,Moss Wood,Cork,Australia,1999,Cabernet Sauvignon 1999,$244.99 per bottle,Ranked 5 of 17 Cabernet Sauvignon from Australia,Margaret River,750mL,8.6,Cabernet Sauvignon,Dry,Western Australia,,Full Bodied,,,,,Exceptional,
65,14.0%,Bunkers,,Australia,,Windmills Rosé 2018,$119.95 per pack of 6,$119.95 ,Margaret River,750mL,8.3,Rosé,Dry,Western Australia,,Light Bodied,,,,,,
66,14,Peccavi,Screw Cap,Australia,,Shiraz & Syrah Mixed Red Pack,$312.00 per bottle,,Margaret River,750mL,8.3,,,,,Full Bodied,,,,,,
67,13.50%,Kay Brothers Amery Vineyards,Screw Cap,Australia,,Basket Pressed Shiraz 2010,$38.00 in any six,$456.00 per case of 12,McLaren Vale,750mL,8,Shiraz,Dry,South Australia,$39.99 per bottle,Full Bodied,,,,,,
