,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,State,Varietal,Wine Style,Region,Price Option 4,Vegan Friendly,Price Option 5,Organic,Langtons Classified,Wine Body
57,13%,McGuigan,Screw Cap,Australia,2018*,The Brothers Pinot Grigio,$12.40 in any six,$74.40 per case of 6,$12.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Victoria,Pinot Grigio,,,,,,,,
58,,,,,,Unknown,,,,,,,,,,,,,,,,
59,13%,Redbank,Screw Cap,Australia,2018*,Sunday Morning Pinot Gris,$18.05 in any six,$108.30 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Victoria,Pinot Gris,Dry,King Valley,,,,,,
60,13.0% (2015),Ad Hoc,Screw Cap,Australia,2015*,Hen and Chicken Chardonnay,$19.00 in any six,$228.00 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7 (2015),Western Australia,Chardonnay,Dry,Pemberton,,,,,,
61,14.5%,Toolangi,Screw Cap,Australia,2013*,Block F Reserve Chardonnay,$75.99 in any six,$456.00 per case of 6,$79.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6,Victoria,Chardonnay,Dry,Yarra Valley,Ranked 11 of 68 Chardonnay from Yarra Valley,,,,,
62,12.4%,Highroller,Screw Cap,Australia,2015*,Riesling,$10.00 in any six,$60.00 per case of 6,$10.00 per bottle,Awards: Gold Ranking (93 points) - Wines Showcase Magazine December 2016,750mL,7.4,South Australia,Riesling,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 48 of 118 Riesling from South Australia,,,
63,12.5%,Nova Vita,Screw Cap,Australia,,2016 Firebird Sauvignon Blanc,$18.95 per bottle,$227.40 per case of 12,,,750mL,7.4,South Australia,Suavignon Blanc,Dry,Adelaide Hills,,true,,,,Light Bodied
64,12.5% (2017),Vickery,Screw Cap,Australia,2017*,Eden Valley Riesling,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4 (2017),South Australia,Riesling,Dry,Eden Valley,Ranked 16 of 27 Riesling from Eden Valley,,,,,
65,11.2% (2014),De Iuliis,Screw Cap,Australia,2018,Semillon,$18.99 in any six,$227.88 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,6.6 (2014),New South Wales,Semillon,Dry,Hunter Valley,,,,,,
66,12.5%,Baily & Baily,Screw Cap,Australia,2018*,Venture Series Sauvignon Blanc,$9.50 in any six,$57.00 per case of 6,$9.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,South Australia,Sauvignon Blanc,Dry,Adelaide Hills,,,,,,
67,7.5%,McWilliam's,Screw Cap,Australia,Non Vintage*,Fruitwood Moscato,$5.70 in any six,$34.20 per case of 6,$5.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,4.4,New South Wales,Moscato,Semi Sweet,,,,,,,
68,12.5% (2017),Grosset,Screw Cap,Australia,2017*,Semillon Sauvignon Blanc,$34.19 in any six,$410.28 per case of 12,$35.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4 (2017),South Australia,Semillon Sauvignon Blanc,Dry,,Ranked 1 of 34 Sémillon from Australia,,,,,
69,15.0% (2015),T'Gallant,Screw Cap,Australia,2015*,Imogen Pinot Gris,$18.05 in any six,$108.30 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.9 (2015),Victoria,Pinot Gris,Dry,Mornington Peninsula,,,,,,
70,12.5%,De Bortoli,Screw Cap,Australia,2016*,Down The Lane Pinot Grigio Arneis,$10.50 in any six,$63.00 per case of 6,$10.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,,Pinot Grigio,Dry,,,,,,,
71,14%,Paringa Estate,Screw Cap,Australia,2016*,Chardonnay,$36.10 in any six,$399.00 per case of 12,$37.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3,Victoria,Chardonnay,Dry,Mornington Peninsula,,,,,,
72,13.0%,Stonier,Screw Cap,Australia,2013*,Reserve Chardonnay,$42.75 in any six,$256.50 per case of 6,$44.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Victoria,Chardonnay,Dry,Mornington Peninsula,Ranked 15 of 35 Chardonnay from Mornington Peninsula,,,,,
73,12.5% (2017),Shottesbrooke,Screw Cap,Australia,2017*,Expression Series Sauvignon Blanc,$13.90 in any six,$83.40 per case of 6,$14.60 per bottle,"Awards: Gold - Adelaide Hills Wine Show (95 points), Silver - Royal Melbourne Wine Show",750mL,7.4 (2017),South Australia,Sauvignon Blanc,Dry,Adelaide Hills,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
74,12.5%,Frogmore Creek,Screw Cap,Australia,2017*,Riesling,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4,Tasmania,Riesling,Dry,Southern Tasmania,Ranked 45 of 56 Riesling from Tasmania,,,,,
75,10.50%,Stanley,Cask Closure,Australia,Non Vintage,Dolce Bianco Cask 4L,$12.99 each,$49.60 per case of 4,,,4L,33,New South Wales,White Blend,Sweet,,,,,,,
