,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Current Vintage,Price Option 4,Langtons Classified,Vegan Friendly
32,14.00%,Moss Wood,Cork,Australia,Cabernet Sauvignon 1996,$190.99 per bottle,,,,Margaret River,750mL,8.3,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,1996,,Exceptional,
33,13.50%,Vasse Felix,Cork,Australia,Cabernet Sauvignon 1999,$69.99 per bottle,,,,Margaret River,750mL,8,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,1999,,Excellent,
34,13.50%,Cullen,Cork,Australia,Cabernet Merlot 1995,$229.99 per bottle,,,,Margaret River,750mL,8,Western Australia,Cabernet Merlot,Medium Bodied,Dry,1995,,Exceptional,
35,14.00%,Cape Mentelle,Screw Cap,Australia,Trinders Cabernet Merlot 2005,Ranked 15 of 37 Cabernet Sauvignon from Margaret River,,,,Margaret River,750mL,8.3,Western Australia,Cabernet Merlot,Medium Bodied,Dry,2005,,,
36,14.00%,Devil's Lair,,Australia,Cabernet Sauvignon Merlot 2005,$56.99 in any six,$341.94 per case of 6,$59.99 per bottle,Ranked 1 of 37 Cabernet Sauvignon from Margaret River,Margaret River,750mL,8.3,Western Australia,Cabernet Merlot,Medium Bodied,Dry,2005,,,
37,13%,Evans & Tate,Screw Cap,Australia,Expressions Strawberry Fields Rosé,$9.88 in any six,$59.28 per case of 6,$9.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,7.7,Western Australia,Rosé,Light Bodied,Dry,2015*,,,
38,14.5% (2012),Xanadu,Screw Cap,Australia,Reserve Cabernet Sauvignon,$84.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 3 of 63 Cabernet Sauvignon from Margaret River,,Margaret River,750mL,8.6 (2012),Western Australia,Cabernet Sauvignon,Full Bodied,Dry,2012*,,,
39,15.00%,Oliver's Taranga Vineyards,Screw Cap,Australia,Shiraz 2008,$37.99 in any six,$455.88 per case of 12,$39.99 per bottle,,McLaren Vale,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,2008,,,
40,13.50%,Devil's Lair,Screw Cap,Australia,Cabernet Sauvignon Merlot 2007,$54.99 per bottle,$313.50 per case of 6,$52.25 in any six,,Margaret River,750mL,8,Western Australia,Cabernet Merlot,Medium Bodied,Dry,2007,,,
41,8.0% (2009),Tahbilk,Screw Cap,Australia,Cabernet Sauvignon 2009,$23.75 in any six,$142.50 per case of 6,$24.99 per bottle,Ranked 5 of 21 Cabernet Sauvignon from Victoria,Goulburn Valley,750mL,13.5 (2009),Victoria,Cabernet Sauvignon,Full Bodied,Dry,2009*,,,
42,14.50%,Penfolds,Screw Cap,Australia,Bin 407 Cabernet Sauvignon 2012,$80.80 in any six,$484.80 per case of 6,$84.99 per bottle,Ranked 6 of 26 Cabernet Sauvignon from Barossa Valley,,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,Excellent,
43,13.0% (2014),Ashton Gate,Screw Cap,Australia,Cabernet Sauvignon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,750mL,7.7 (2014),Tasmania,Cabernet Sauvignon,Full Bodied,Dry,2014*,,,
44,12.5%,Wolf Blass,Screw Cap,Australia,Eaglehawk Rosé,$5.95 in any six,$35.70 per case of 6,$5.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.4,,,Light Bodied,Dry,2012,,,
45,13.60%,Wendouree,Cork,Australia,Shiraz 1998,$249.99 per bottle,Ranked 15 of 21 Shiraz from South Australia,,,Clare Valley,750mL,8,South Australia,Shiraz,Full Bodied,Dry,1998,,Exceptional,
46,13.50%,St Hallett,Screw Cap,Australia,Old Block Shiraz 2010,$114.00 in any six,$684.00 per case of 6,$119.99 per bottle,Ranked 4 of 141 Shiraz from Barossa Valley,Barossa,750mL,8,South Australia,Shiraz,Full Bodied,Dry,2010,,Excellent,
47,14.50%,Kilikanoon,Screw Cap,Australia,Kelly 1932 Grenache,$114.00 in any six,$684.00 per case of 6,$119.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,8.6,South Australia,Grenache,Medium Bodied,Dry,2012*,,,
48,13%,Heartland,Screw Cap,Australia,Spice Trader,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Langhorne Creek,750mL,7.7,South Australia,Cabernet Blend,,Dry,2014*,,,
49,13.20%,Henschke,Cork,Australia,Hill of Grace Shiraz 1989 Magnum 1.5L,,,,,Eden Valley,1.5L,16,South Australia,Shiraz,Full Bodied,,,,Exceptional,
50,14.0% (2015),Hardys,Screw Cap,Australia,Nottage Hill Shiraz,$7.60 in any six,$45.60 per case of 6,$7.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.3 (2015),South Australia,Shiraz,Full Bodied,Dry,2015*,,,
51,13.50%,Yarra Yering,,Australia,Underhill Shiraz 2013 Magnum 1.5L,$209.99 per bottle,,,,Yarra Valley,1.5L,16,Victoria,Shiraz,Full Bodied,Dry,,,,
52,13%,Heartland,Screw Cap,Australia,Spice Trader,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Langhorne Creek,750mL,7.7,South Australia,Cabernet Blend,,Dry,2014*,,,
53,14.8%,Elderton,Screw Cap,Australia,Cabernet Sauvignon,$25.70 in any six,$308.40 per case of 12,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,2016*,Ranked 18 of 19 Cabernet Sauvignon from Barossa Valley,,
54,13.0% (2015),Seville Estate,Screw Cap,Australia,Old Vine Reserve Pinot Noir,$66.50 in any six,$798.00 per case of 12,$69.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.7 (2015),Victoria,Pinot Noir,Light Bodied,Dry,2015*,,,
55,13.0% (2011),Bindi,Cork,Australia,Original Vineyard Pinot Noir,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,Macedon Ranges,750mL,7.7 (2011),Victoria,Pinot Noir,Light Bodied,Dry,2011*,,Outstanding,
56,13.50%,Wynns,Screw Cap,Australia,Black Label Cabernet Sauvignon 2012 Magnum 1.5L,$83.60 in any six,$501.60 per case of 6,$87.99 per bottle,,Coonawarra,1.5L,16,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,Excellent,
57,14.8%,Elderton,Screw Cap,Australia,Cabernet Sauvignon,$25.70 in any six,$308.40 per case of 12,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,2016*,Ranked 18 of 19 Cabernet Sauvignon from Barossa Valley,,
58,13.00%,Penfolds,Cork,Australia,St Henri Shiraz 1969,"$1,500.00 per bottle",,,,,750mL,7.7,South Australia,Shiraz,Full Bodied,Dry,,,,
