,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Langtons Classified,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Vegan Friendly,Organic
89,13.50%,Wynns,Screw Cap,Australia,,,V&A Lane Cabernet Shiraz 2013,$69.99 per bottle,Coonawarra,750mL,8,South Australia,Cabernet Sauvignon Shiraz,,Dry,$399.00 per case of 6,$66.50 in any six,Ranked 16 of 19 Cabernet Sauvignon from Limestone Coast,,,
90,15.0%,Wolf Blass,Screw Cap,Australia,2008*,Excellent,Black Label Cabernet Sauvignon Shiraz Malbec 2008,$792.60 per case of 6,Barossa  Valley,750mL,8.9,South Australia,Cabernet Shiraz Malbec,,Dry,$138.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
91,13.5%,Vinos Divertidos,,Australia,,,La Tapa Loca Tempranillo,$19.95 per bottle,,750mL,7.9,,Tempranillo,,,$239.40 per case of 12,,,,,
92,14.5\t,Woodside Park,Screw Cap,Australia,2017,,Shiraz 2017,$24.95 per bottle,McLaren Vale,750mL,8.6,,Shiraz,Full Bodied,,$149.70 per case of 6,,,,,
93,14.2%,Beresford ,Screw Cap,Australia,2015,,Bell Tower Shiraz 2015,$25.00 per bottle,,750mL,8.4,South Australia,Shiraz,,,$177.00 per case of 12,,,,,
94,14,Yarra Yering,Screw Cap,Australia,2016,,Underhill Shiraz 2016,$104.50 in any six,Yarra Valley,750mL,8.3,Victoria,Shiraz,,,"$1,254.00 per case of 12",$109.99 per bottle,,,,
95,14.0% (2014),Mount Langi Ghiran,Screw Cap,Australia,2014*,Excellent,Langi Shiraz,$104.50 in any six,Grampians,750mL,8.3 (2014),Victoria,Shiraz,Full Bodied,Dry,$627.00 per case of 6,$110.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 5 of 30 Shiraz from Western Victoria,,
96,14.5%,S.C. Pannell,Screw Cap,Australia,2015*,,The Vale Shiraz Grenache,$38.00 in any six,McLaren Vale,750mL,8.6,South Australia,Grenache Blend,Medium Bodied,Dry,$228.00 per case of 6,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
97,14.000000000000002%,Finca Bacara,,Australia,,,3015 Monastrell,$26.95 per bottle,,750mL,8.2,,Monastrell/Mouvredre,,,$161.70 per case of 6,,,,,
98,13.5%,Vinos Divertidos,,Australia,,,La Tapa Loca Tempranillo,$19.95 per bottle,,750mL,7.9,,Tempranillo,,,$239.40 per case of 12,,,,,
99,14.2,Shingleback,Screw Cap,Australia,2016,,Kitchen Garden 2016,$25.00 per bottle,,750mL,8.3,,Shiraz,Full Bodied,,$150.00 per case of 6,,,,,
100,14.5%,Shingleback,Screw Cap,Australia,,,The Gate Shiraz 2016,$34.99 per bottle,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,$209.94 per case of 6,"Awards: GOLD MEDAL:

2018 Selections Mondiales des Vins, Canada
2018 International Wine Challenge, Vienna
SILVER MEDAL:

2017 New Zealand International Wine Show, class 18a
2018 Melbourne International Wine Competition
2018 Sydney Royal Wine Show, class 34
2018 NZ International Wine Show, class 18a
2018 McLaren Vale Wine Show, class 12
2018 Great Australian Shiraz Challenge

95 pts: 2019 James Halliday Wine Companion",,,,
101,14,Mafioso Rosso,Screw Cap,Australia,,,Mafioso Rosso McLaren Vale 2014,$25.00 per bottle,McLaren Vale,750,8.3,,Mourvedre Montepulci,,,$150.00 per case of 6,,,,,
