,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Organic,Vegan Friendly,Langtons Classified,Price Option 5
59,14.5%,Macaw Creek,Screw Cap,Australia,2017*,Preservative Free Shiraz,$17.10 in any six,$205.20 per case of 12,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
60,14.5%,Bremerton,Screw Cap,Australia,2016,Tamblyn Cabernet Shiraz Merlot Malbec,$17.99 per bottle,$205.08 per case of 12,$17.09 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 23 of 30 Cabernet Sauvignon from South Australia,Langhorne Creek,750mL,8.6,South Australia,Cabernet Shiraz Merlot Malbec,,Dry,,,,
61,13%,Lindeman's,Screw Cap,Australia,2010,Coonawarra Trio St George Cabernet Sauvignon 2010,$85.50 in any six,$513.00 per case of 6,$89.99 per bottle,"Awards: International Wine Challenge, 2014: Silver 
Decanter World Wine Awards, 2013: Silver 
International Wine & Spirit Competition, 2013: Silver 
International Wine Challenge, 2012: Silver",,Coonawarra,750mL,7.7,South Australia,Cabernet Sauvignon,,Dry,,,,
62,14.5%,Torbreck,Cork,Australia,2016*,The Gask Shiraz,$80.80 in any six,$484.80 per case of 6,$84.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Eden Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
63,14.0%,Leeuwin Estate,Screw Cap,Australia,,Art Series Cabernet Sauvignon 2007,$84.99 in any six,"$1,019.80 per case of 12",$89.99 per bottle,Ranked 19 of 49 Cabernet Sauvignon from Margaret River,,Margaret River,750mL,8.3,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
64,14.0% (2008),Reschke,Cork,Australia,2008*,Empyrean Cabernet Sauvignon,$123.49 in any six,$740.94 per case of 6,$129.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 2 of 44 Cabernet Sauvignon from Coonawarra,Coonawarra,750mL,8.3 (2008),South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
65,14.0%,Blue Pyrenees,Screw Cap,Australia,2015*,Cabernet Sauvignon,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,"Awards: Top Gold Medal International Cool Climate Wine Show 2018, Gold Medal China Wine and Spirits Good Value Awards 2018","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Pyrenees,750mL,8.3,Victoria,Cabernet Sauvignon,Full Bodied,Dry,,,,Ranked 11 of 25 Cabernet Sauvignon from Victoria
66,13.5%,Warburn,Screw Cap,Australia,2016*,Premium Reserve Shiraz,$8.55 in any six,$51.30 per case of 6,$8.99 per bottle,Awards: Gold - Royal Melbourne Wine Show 2012,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.0,South Australia,Shiraz,Full Bodied,Dry,,,,
67,14%,Mornington Estate,Screw Cap,Australia,2016*,Pinot Noir,$20.90 in any six,$125.40 per case of 6,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 74 of 77 Pinot Noir from Mornington Peninsula,Mornington Peninsula,750mL,8.3,Victoria,Pinot Noir,Light Bodied,Dry,,,,
68,13.5%,Yangarra,Screw Cap,Australia,2017*,PF Grenache,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,McLaren Vale,750mL,8.0,South Australia,Grenache,Medium Bodied,Dry,,,,
69,13.4%,Oakridge,,Australia,2017*,Hazeldene Pinot Noir,$33.30 in any six,$199.80 per case of 6,$34.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 14 of 55 Pinot Noir from Yarra Valley,,750mL,7.9,,Pinot Noir,Light Bodied,,,,,
70,13.5%,Bunnamagoo,Screw Cap,Australia,2014*,Shiraz,$18.99 in any six,$227.88 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Mudgee,750mL,8.0,New South Wales,Shiraz,Full Bodied,Dry,,,,
71,14.5%,Leasingham,Screw Cap,Australia,2016*,Bin 56 Cabernet Malbec,$14.20 in any six,$85.20 per case of 6,$14.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Clare Valley,750mL,8.6,South Australia,Cabernet Malbec,,Dry,,,,
72,13.5%,Margan,Screw Cap,Australia,2016*,Shiraz,$19.00 in any six,$228.00 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 7 of 19 Shiraz from Lower Hunter,Hunter Valley,750mL,8.0,New South Wales,Shiraz,Full Bodied,Dry,,,,
73,12.5% (2016),R For,Screw Cap,Australia,2016*,Rosé,$7.00 in any six,$42.00 per case of 6,$7.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.4 (2016),South Australia,,Light Bodied,Dry,,,,
74,13.5%,Knappstein,Screw Cap,Australia,2016*,Shiraz,$16.95 in any six,$101.70 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 4 of 21 Shiraz from Clare Valley,Clare Valley,750mL,8.0,South Australia,Shiraz,Full Bodied,Dry,,,,
75,,,,,,Unknown,,,,,,,,,,,,,,,,
76,14.5%,De Bortoli,Screw Cap,Australia,2017*,Windy Peak Shiraz,$11.40 in any six,$68.40 per case of 6,$11.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Heathcote,750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,,true,,
77,14.5% (2012),Paracombe,Screw Cap,Australia,2012*,Cabernet Sauvignon,$21.90 in any six,$262.80 per case of 12,$22.99 per bottle,Awards: Gold - 2018 Sydney International Wine Competition (2012 vintage),"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,8.6 (2012),South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,Ranked 12 of 32 Cabernet Sauvignon from Mount Lofty Ranges
78,14.5,Pindarie,Screw Cap,Australia,2017,The Risk Taker Tempranillo 2017,$27.00 per bottle,$162.00 per case of 6,"Awards: 2016 Vintage - Gold Medal 2017 Barossa Wine Show, and 91 Points James Halliday Wine Companion",,,Barossa,750mL,8.6,South Australia,Tempranillo,Medium Bodied,Dry,,,,
79,13.0% (2015),Scorpo,Screw Cap,Australia,2015*,Noirien Pinot Noir,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 87 of 102 Pinot Noir from Mornington Peninsula,Mornington Peninsula,750mL,7.7 (2015),Victoria,Pinot Noir,Light Bodied,Dry,,,,
80,14.5%,Thorn-Clarke,Screw Cap,Australia,2015,Shotfire Quartage Cabernet Blend,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.6,South Australia,Red Blend,,Dry,,,,
81,14.0%,Brokenwood,Screw Cap,Australia,2014*,Wade Block 2 Shiraz,$59.90 in any six,$359.40 per case of 6,$62.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,McLaren Vale,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,
82,14.0%,Cirillo,Screw Cap,Australia,2017*,The Vincent Grenache,$20.80 in any six,$124.80 per case of 6,$21.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.3,South Australia,Grenache,Medium Bodied,Dry,,,,
83,15.00%,Elderton,Cork,Australia,2001,Command Shiraz 2001,$119.99 per bottle,,,,,Barossa Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,Excellent,
84,13.5%,Yering Station,Screw Cap,Australia,2015,Reserve Pinot Noir,$114.00 in any six,$684.00 per case of 6,$119.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,8.0,Victoria,Pinot Noir,Light Bodied,Dry,,,,
85,13.5,Levantine Hill,Screw Cap,Australia,,Estate Syrah 2015,$79.99 per bottle,$480.00 per case of 6,Ranked 3 of 26 Shiraz from Yarra Valley,,,Yarra Valley,750ml,8,,Shiraz,Full Bodied,Shiraz,,,,
86,14.5%,The Natural Wine Co,Screw Cap,Australia,2018*,Organic Shiraz,$15.20 in any six,$182.40 per case of 12,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 5 of 21 Shiraz from Australia,,750mL,8.6,,Shiraz,Full Bodied,Dry,,,,
87,12.5%,St Huberts,Screw Cap,Australia,2017*,The Stag Victorian Pinot Noir,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,700mL,7.4,Victoria,Pinot Noir,Light Bodied,Dry,,,,
88,13.50%,Hardys,Cask Closure,Australia,,Reserve Cabernet Sauvignon Cask 10L,$52.99 each,,,,,,10L,107,,Cabernet Sauvignon,,Dry,,,,
89,14.5%,Katnook Estate,Screw Cap,Australia,2010,Prodigy Shiraz 2010,$113.99 in any six,$676.75 per case of 6,$119.99 per bottle,"Awards: Decanter World Wine Awards, 2016: Bronze 
International Wine & Spirit Competition, 2016: Gold 
International Wine Challenge, 2016: Silver 
Hong Kong International Wine & Spirit Competition, 2015: Silver 
International Wine & Spirit Competition, 2015: Silver Outstanding",,Coonawarra,750mL,8.6,South Australia,Shiraz,,,,,,
90,13.00%,De Bortoli,Cask Closure,Australia,Non Vintage,Premium Reserve Cabernet Merlot Cask 2L,$9.99 each,$57.00 per case of 6,,,,,2L,20.51,New South Wales,Cabernet Merlot,,Dry,,,,
91,12.50%,Mount Mary,Cork,Australia,1996,Quintet 1996,$234.99 per bottle,,,,,Yarra Valley,750mL,7.4,Victoria,Red Blend,,Dry,,,Exceptional,
92,13.5% (2017),Lerida Estate,Screw Cap,Australia,2017*,Lake George Pinot Noir,$24.70 in any six,$296.40 per case of 12,$25.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Canberra District,750mL,8.0 (2017),Australian Capital Territory,Pinot Noir,Light Bodied,Dry,,,,
93,13.0%,Brokenwood,Screw Cap,Australia,2015*,Hunter Valley Shiraz,$36.09 in any six,$216.54 per case of 6,$37.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 429 of 647 Shiraz from Australia,Hunter Valley,750mL,7.8,New South Wales,Shiraz,Full Bodied,Dry,,,,
94,13.5%,Goundrey,Screw Cap,Australia,2017*,Homestead Shiraz,$12.40 in any six,$74.40 per case of 6,$12.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8,Western Australia,Shiraz,Full Bodied,Dry,,,,
95,13.5,Wynns,Screw Cap,Australia,2013,Michael Shiraz 750mL,$119.99 per bottle,$683.94 per case of 6,$113.99 in any six,Ranked 1 of 20 Shiraz from Coonawarra,,Coonawarra,750mL,8,South Australia,Shiraz,Full Bodied,Dry,,,Outstanding,
96,14.5%,Chris Ringland,Screw Cap,Australia,2016*,Sealed Shiraz,$33.30 in any six,$199.80 per case of 6,$34.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
97,15.00%,Clarendon Hills,Cork,Australia,,Astralis Shiraz 2004,$465.00 per bottle,,,,,McLaren Vale,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,,
98,14.0%,Blue Pyrenees,Screw Cap,Australia,2016,Estate Merlot 2016,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,"Awards: 2 Gold Medals - Royal Melbourne Wine Show 2015, Rutherglen Wine Show 2015","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Pyrenees,750mL,8.3,Victoria,Merlot,Medium Bodied,Dry,,,,
99,15%,Saltram,Screw Cap,Australia,2016*,Mamre Brook Shiraz,$29.99 per bottle,$171.00 per case of 6,$28.50 in any six,Awards: 2 Gold - Royal Adelaide Wine Show 2013 & Royal Melbourne Wine Show 2012. Trophy - 'Best Shiraz In Show'  Royal Adelaide Wine Show 2013,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,,
