,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Langtons Classified,Name,Price Option 0,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 1,Region,Price Option 2,Price Option 3,Price Option 4,Price Option 5,Vegan Friendly
94,13.50%,Giaconda,Cork,Australia,1999,,Pinot Noir 1999,$139.99 per bottle,750mL,8,Victoria,Pinot Noir,Light Bodied,Dry,,Beechworth,,,,,
95,12.40%,Yarra Yering,Cork,Australia,2002,Excellent,Dry Red No.1 2002,$114.99 per bottle,750mL,7.3,Victoria,Red Blend,,Dry,,Yarra Valley,,,,,
96,13.50%,Giaconda,Cork,Australia,1999,,Pinot Noir 1999,$139.99 per bottle,750mL,8,Victoria,Pinot Noir,Light Bodied,Dry,,Beechworth,,,,,
97,12.40%,Yarra Yering,Cork,Australia,2002,Excellent,Dry Red No.1 2002,$114.99 per bottle,750mL,7.3,Victoria,Red Blend,,Dry,,Yarra Valley,,,,,
98,14.50%,Best's Great Western,Cork,Australia,1999,,FHT Shiraz 1999,$49.99 per bottle,750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,Ranked 3 of 28 Shiraz from Australia,Grampians,,,,,
99,15.00%,Jasper Hill,Cork,Australia,,Outstanding,Georgia's Paddock Shiraz 2006,$74.99 per bottle,750mL,8.9,Victoria,Shiraz,Full Bodied,Dry,,Heathcote,,,,,
100,14.50%,Best's Great Western,Cork,Australia,1999,,FHT Shiraz 1999,$49.99 per bottle,750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,Ranked 3 of 28 Shiraz from Australia,Grampians,,,,,
101,14.50%,Robertson's Well,Cork,Australia,,,Cabernet Sauvignon 2005,$16.15 in any six,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$191.65 per case of 12,Coonawarra,$16.99 per bottle,,,,
102,14.50%,Mildara,Screw Cap,Australia,2005,,Coonawarra Cabernet Sauvignon 2005,$23.75 in any six,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$140.95 per case of 6,Coonawarra,$24.99 per bottle,,,,
103,14.50%,Chapel Hill,Screw Cap,Australia,2004,,McLaren Vale Cabernet Sauvignon 2004,$23.75 in any six,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$281.89 per case of 12,McLaren Vale,$24.99 per bottle,Ranked 11 of 17 Cabernet Sauvignon from McLaren Vale,,,
104,15.00%,Maglieri,Cork,Australia,,,Shiraz 2005,$18.99 in any six,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,$227.88 per case of 12,McLaren Vale,$19.99 per bottle,,,,
105,15.00%,Pepperjack,Cork,Australia,,,Cabernet Sauvignon 2005,$19.95 in any six,750mL,8.9,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$239.40 per case of 12,Barossa Valley,$20.99 per bottle,Ranked 2 of 15 Cabernet Sauvignon from Barossa,,,
106,14.50%,Murdock,Cork,Australia,,,Cabernet Sauvignon 2002,$43.70 in any six,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$259.39 per case of 6,Coonawarra,$45.99 per bottle,,,,
107,14.50%,Wolf Blass,Screw Cap,Australia,2006,,Grey Label Cabernet Sauvignon 2006,$36.90 in any six,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$221.40 per case of 6,Langhorne Creek,$38.90 per bottle,Ranked 14 of 38 Cabernet Sauvignon from Fleurieu,,,
108,15.00%,Wolf Blass,Screw Cap,Australia,2006,,Grey Label Shiraz 2006,$36.90 in any six,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,$221.40 per case of 6,McLaren Vale,$38.90 per bottle,,,,
109,14.00%,Wyndham Estate,Screw Cap,Australia,,,Bin 444 Cabernet Sauvignon 2005,$12.35 in any six,750mL,8.3,New South Wales,Cabernet Sauvignon,Full Bodied,Dry,$73.29 per case of 6,,$12.99 per bottle,Ranked 7 of 22 Cabernet Sauvignon from New South Wales,,,
110,16.50%,Greenock Creek,Cork,Australia,2003,,Apricot Block Shiraz 2003,$89.99 per bottle,750mL,9.7,South Australia,Shiraz,Full Bodied,Dry,,Barossa Valley,,,,,
111,14.00%,Wyndham Estate,Screw Cap,Australia,,,Bin 444 Cabernet Sauvignon 2005,$12.35 in any six,750mL,8.3,New South Wales,Cabernet Sauvignon,Full Bodied,Dry,$73.29 per case of 6,,$12.99 per bottle,Ranked 7 of 22 Cabernet Sauvignon from New South Wales,,,
112,13.50%,Wynns,Cork,Australia,1993,Exceptional,John Riddoch Cabernet Sauvignon 1993,$174.99 per bottle,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,Coonawarra,,,,,
113,14.00%,Heathcote Estate,Screw Cap,Australia,2005,,Shiraz 2005,$42.75 in any six,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,$256.50 per case of 6,Heathcote,$44.99 per bottle,Ranked 3 of 30 Shiraz from Heathcote,,,
114,13.50%,Lindeman's,Cork,Australia,2004,,Coonawarra Trio Pyrus Cabernet Blend 2004,$42.75 in any six,750mL,8,South Australia,Cabernet Cabernet Franc Merlot,,Dry,$253.75 per case of 6,Coonawarra,$44.99 per bottle,Ranked 16 of 44 Cabernet Sauvignon from South Australia,,,
115,14.00%,Wynns,Screw Cap,Australia,2006,,Cabernet Shiraz Merlot 2006,$17.90 in any six,750mL,8.3,South Australia,Cabernet Shiraz Merlot,,Dry,$102.00 per case of 6,Coonawarra,$18.90 per bottle,Ranked 10 of 15 Cabernet Sauvignon from Coonawarra,,,
116,13.50%,Lindeman's,Cork,Australia,2004,,Coonawarra Trio Pyrus Cabernet Blend 2004,$42.75 in any six,750mL,8,South Australia,Cabernet Cabernet Franc Merlot,,Dry,$253.75 per case of 6,Coonawarra,$44.99 per bottle,Ranked 16 of 44 Cabernet Sauvignon from South Australia,,,
117,14.00%,Wynns,Screw Cap,Australia,2006,,Cabernet Shiraz Merlot 2006,$17.90 in any six,750mL,8.3,South Australia,Cabernet Shiraz Merlot,,Dry,$102.00 per case of 6,Coonawarra,$18.90 per bottle,Ranked 10 of 15 Cabernet Sauvignon from Coonawarra,,,
118,14.50%,Ingoldby,Screw Cap,Australia,,,Cabernet Sauvignon 2005,$16.15 in any six,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$95.85 per case of 6,McLaren Vale,$16.99 per bottle,,,,
119,14.50%,Rosemount,Screw Cap,Australia,2005,,Show Reserve Traditional 2005,$16.90 in any six,750mL,8.6,South Australia,Red Blend,,Dry,$101.40 per case of 6,McLaren Vale,$17.90 per bottle,Ranked 28 of 53 Cabernet Sauvignon from South Australia,,,
