,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 4,Langtons Classified,Vegan Friendly
83,14.5,Wirra Wirra,,Australia,2008,RSW Shiraz 2008,$79.99 per bottle,Awards: Gold - International Wine Challenge 2011,Ranked 15 of 92 Shiraz from McLaren Vale,,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,Excellent,
84,7.00%,Brown Brothers,Cask Closure,Australia,Non Vintage,Still Moscato Rosa Cask 2L,$14.90 per pack,,,,,2L,11,Victoria,Moscato,Light Bodied,Semi Sweet,,,
85,14.50%,Orlando,Cork,Australia,2003,Jacaranda Ridge Cabernet Sauvignon 2003,,,,,Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
86,13.50%,Wynns,Cork,Australia,1991,John Riddoch Cabernet Sauvignon 1991,$199.99 per bottle,,,,Coonawarra,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,Exceptional,
87,11.7% (2013),Jacob's Creek,Screw Cap,Australia,2013*,Cool Harvest Shiraz Rosé,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,750mL,6.9 (2013),,Shiraz,,Dry,,,
88,14.00%,Taylors,Screw Cap,Australia,,Reserve Parcel Shiraz 2012,$31.40 in any six,$188.40 per case of 6,$32.99 per bottle,Awards: Gold Medal - New Zealand International Wine Show 2013 & Royal Hobart Wine Show 2013; Blue Gold - Sydney International Wine Competition 2013; Trophy - Best Shiraz - Royal Hobart Wine Show 2013; Silver Medal - New York Wine & Spirits Competition 2013 & Grea,Clare Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,Ranked 12 of 35 Shiraz from Clare Valley,,
89,14.5% (2013),Bremerton,Screw Cap,Australia,2013*,Cronin's Shiraz,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 85 of 123 Shiraz from Fleurieu,,,Langhorne Creek,750mL,8.6 (2013),South Australia,Shiraz,Full Bodied,Dry,,,
90,14.10%,Best's Great Western,Cork,Australia,2005,Thomson Family Shiraz 2005,$171.00 in any six,"$1,026.00 per case of X",$179.99 per bottle,Ranked 4 of 15 Shiraz from Grampians,Grampians,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,,Outstanding,
91,14.5% (2013),Bremerton,Screw Cap,Australia,2013*,Cronin's Shiraz,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 85 of 123 Shiraz from Fleurieu,,,Langhorne Creek,750mL,8.6 (2013),South Australia,Shiraz,Full Bodied,Dry,,,
92,7.5% (2015),Banrock Station,Screw Cap,Australia,2015*,Red Moscato,$2.88 in any six,$17.28 per case of 6,$2.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,4.4 (2015),,Moscato,,Semi Sweet,,,
93,14.5% (2010),Cape Barren,Screw Cap,Australia,2010*,Old Vine Shiraz,$29.88 in any six,$358.56 per case of 12,$29.88 per bottle,"Awards: 3 Gold - Hong Kong International Wine & Spirits Competition 2012, 'La Selection' awards Basel Wine Fair Switzerland 2012, China Wine & Spirit Awards 2012",McLaren Vale,750mL,8.6 (2010),South Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,
94,14.00%,Taylors,Screw Cap,Australia,,Reserve Parcel Shiraz 2012,$31.40 in any six,$188.40 per case of 6,$32.99 per bottle,Awards: Gold Medal - New Zealand International Wine Show 2013 & Royal Hobart Wine Show 2013; Blue Gold - Sydney International Wine Competition 2013; Trophy - Best Shiraz - Royal Hobart Wine Show 2013; Silver Medal - New York Wine & Spirits Competition 2013 & Grea,Clare Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,Ranked 12 of 35 Shiraz from Clare Valley,,
95,14.5%,Henschke,Screw Cap,Australia,,Hill of Grace Shiraz 2009,$759.10 in any six,"$2,277.30 per case of 3",$799.00 per bottle,Ranked 1 of 122 Shiraz from Barossa,Eden Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,Exceptional,
96,13.50%,Giants Steps,Screw Cap,Australia,,Sexton Vineyard Pinot Noir 2012,Ranked 48 of 76 Pinot Noir from Yarra Valley,,,,Yarra Valley,750mL,8,Victoria,Pinot Noir,Light Bodied,Dry,,,
97,11.7% (2013),Jacob's Creek,Screw Cap,Australia,2013*,Cool Harvest Shiraz Rosé,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,750mL,6.9 (2013),,Shiraz,,Dry,,,
98,14.50%,Penfolds,Screw Cap,Australia,2008,Bin 128 Shiraz 2008,$52.30 in any six,$313.80 per case of 6,$54.99 per bottle,Ranked 5 of 20 Shiraz from Coonawarra,Coonawarra,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,Excellent,
99,12.5% (2013),The Maîtresse,Screw Cap,Australia,2013*,Pinot Noir,$16.15 in any six,$96.90 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,7.4 (2013),Victoria,Pinot Noir,Light Bodied,Dry,,,
100,14.50%,Angoves,Screw Cap,Australia,2014*,Family Crest Grenache Shiraz Mourvedre,$18.10 in any six,$108.60 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Grenache Shiraz Mourvedre,Medium Bodied,Dry,,,
101,14.50%,Penfolds,Screw Cap,Australia,,Bin 138 Grenache Shiraz Mourvèdre 2010,$46.55 in any six,$279.30 per case of 6,$48.99 per bottle,Ranked 5 of 27 Shiraz from Barossa Valley,Barossa Valley,750mL,8.6,South Australia,Grenache Shiraz Mourvèdre,,Dry,,,
102,14.5% (2011),Fox Creek,Screw Cap,Australia,2011*,Shadows Run Shiraz Cabernet Sauvignon,$11.90 in any six,$142.80 per case of 12,$11.90 per bottle,Awards: Gold - Dan Murphy's National Wine Show of Australia 2012,McLaren Vale,750mL,8.6 (2011),South Australia,Shiraz Cabernet,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,
103,13.0% (2012),McWilliam's,Screw Cap,Australia,2012*,Inheritance Cabernet Merlot,$4.00 in any six,$48.00 per case of 12,$4.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.7 (2012),,Cabernet Merlot,Medium Bodied,Dry,,,
104,13%,Ten Minutes by Tractor,Screw Cap,Australia,2016*,10X Pinot Noir,$34.20 in any six,$205.20 per case of 6,$35.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,7.7,Victoria,Pinot Noir,Light Bodied,Dry,Ranked 20 of 77 Pinot Noir from Mornington Peninsula,,
105,14.0% (2014),Brand's Laira,Screw Cap,Australia,2014*,Foundation Cabernet Merlot,$10.88 per bottle,$65.28 per case of 6,$10.88 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.3 (2014),South Australia,Cabernet Merlot,Medium Bodied,Dry,,,
106,14.5% (2012),Rocland Estate,Screw Cap,Australia,2012*,Grenache,$14.88 in any six,$178.56 per case of 12,$14.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,10.9 (2012),South Australia,Grenache,Medium Bodied,Dry,Ranked 14 of 37 Grenache from Barossa Valley,,
107,14.0% (2013),Red Claw,Screw Cap,Australia,2013*,Shiraz,$20.88 in any six,$125.28 per case of 6,$20.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Heathcote,750mL,8.3 (2013),Victoria,Shiraz,Full Bodied,Dry,,,
108,13.50%,Wynns,Screw Cap,Australia,2010,Alex 88 Cabernet Sauvignon 2010,Ranked 3 of 49 Cabernet Sauvignon from Coonawarra,,,,Coonawarra,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
109,14.00%,Yalumba,Cork,Australia,2011*,Steeple Shiraz,$57.00 in any six,$342.00 per case of 6,$59.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,true
110,13.5,Yalumba,Screw Cap,Australia,2014,Yalumba The Strapper Grenache Shiraz Mataro 2014,$17.99 per bottle,$107.94 per case of 6,,,South Australia,750mL,8.0,,Grenache Blend,,Dry,,,true
111,13.5,Yalumba,Screw Cap,Australia,2014,Yalumba Y Series Tempranillo 2014,$10.95 per bottle,$65.70 per case of 6,Ranked 11 of 28 Tempranillo from South Australia,,South Australia,750mL,8.0,South Australia,Tempranillo,Full Bodied,Dry,,,true
112,14.0% (2010),Coldstream Hills,Screw Cap,Australia,2010*,Reserve Shiraz,$39.89 in any six,$239.34 per case of 6,$41.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,8.3 (2010),Victoria,Shiraz,Full Bodied,Dry,,,
113,14.50%,Wolf Blass,Screw Cap,Australia,,Grey Label Shiraz Cabernet 2009,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,Ranked 32 of 65 Shiraz from South Australia,Robe,750mL,8.6,South Australia,Shiraz Cabernet,Full Bodied,Dry,,,
114,14.5,Penley Estate,Screw Cap,Australia,,Gryphon Cabernets Merlot 2015,$19.99 per bottle,$119.94 per case of 6,,,Coonawarra,750ml,8.6,,"Cabernet Sauvignon, ",,,,,
115,14.5,Penley Estate,Screw Cap,Australia,,Gryphon Cabernets Merlot 2015,$19.99 per bottle,$119.94 per case of 6,,,Coonawarra,750ml,8.6,,"Cabernet Sauvignon, ",,,,,
116,14.5% (2014),Tyrrell's,Screw Cap,Australia,2016,Lunatiq Heathcote Shiraz 2016,$35.99 per bottle,$205.20 per case of 6,$34.20 in any six,,Heathcote,750mL,8.6 (2014),Victoria,Shiraz,Full Bodied,Dry,,,
117,14.50%,Penfolds,Screw Cap,Australia,2015*,Bin 128 Shiraz,$37.00 in any six,$222.00 per case of 6,$38.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Ranked 1 of 16 Shiraz from Coonawarra,Excellent,
118,14.50%,Penfolds,Screw Cap,Australia,2014,Bin 28 Kalimna Shiraz 2014,$42.80 in any six,$256.80 per case of 6,$44.99 per bottle,Ranked 10 of 117 Shiraz from Barossa Valley,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,Excellent,
119,14.50%,Penfolds,Screw Cap,Australia,2015*,Bin 128 Shiraz,$37.00 in any six,$222.00 per case of 6,$38.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Ranked 1 of 16 Shiraz from Coonawarra,Excellent,
