,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Current Vintage,Price Option 3,Price Option 4,Langtons Classified,Price Option 5,Organic,Vegan Friendly
48,15.00%,Jasper Hill,Cork,Australia,Emily's Paddock Shiraz Cabernet Franc 2004,$129.99 per bottle,,,Heathcote,750mL,8.9,Victoria,Shiraz Cabernet Franc,,Dry,2004,,,Outstanding,,,
49,15.00%,Jasper Hill,Cork,Australia,Georgia's Paddock Shiraz 2004,$124.99 per bottle,Ranked 18 of 29 Shiraz from Heathcote,,Heathcote,750mL,8.9,Victoria,Shiraz,Full Bodied,Dry,2004,,,Outstanding,,,
50,14.50%,Jim Barry,Cork,Australia,The Armagh Shiraz 1990,$399.00 per bottle,Ranked 7 of 16 Shiraz from Australia,,Clare Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,1990,,,Exceptional,,,
51,14.50%,Penfolds,Cork,Australia,RWT Barossa Valley Shiraz 2003,$224.99 per bottle,Ranked 30 of 50 Shiraz from Barossa Valley,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,2003,,,Outstanding,,,
52,14.50%,Penfolds,Cork,Australia,RWT Barossa Valley Shiraz 2004,$199.99 per bottle,Ranked 10 of 64 Shiraz from Barossa Valley,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,2004,,,Outstanding,,,
53,12.60%,Penfolds,Cork,Australia,Grange 1981,$799.00 per bottle,,,,750mL,7.6,South Australia,Shiraz,Full Bodied,Dry,1981,,,Exceptional,,,
54,14.50%,Peter Lehmann,Cork,Australia,Stonewell Shiraz 1998,$142.50 in any six,$149.99 per bottle,"Awards: 3 Trophies - London International Wine & Spirit Competition 2001, Barossa Wine Show 2003, Selection Mondiales Les Vins Quebec 2004. 12 Gold - Royal Adelaide Wine Show 2000, Royal Brisbane Wine Show 2000, Royal Hobart Wine Show 2000, Royal Brisbane Wine Sh",Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,1998,,,Outstanding,,,
55,13.50%,Redbank,Cork,Australia,Sally's Paddock 2000,$69.99 per bottle,,,,750mL,8,Victoria,Red Blend,,Dry,2000,,,Excellent,,,
56,14.50%,Rockford,Cork,Australia,Basket Press Shiraz 1999,$199.99 per bottle,,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,1999,,,Exceptional,,,
57,15.00%,Rockford,Cork,Australia,Basket Press Shiraz 2003,$219.99 per bottle,,,Barossa Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,2003,,,Exceptional,,,
