,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Size,Standard Drinks,Varietal,Wine Style,Langtons Classified,Region,State,Wine Body,Price Option 3,Price Option 4,Price Option 5,Organic,Vegan Friendly
82,15%,Charles Cimicky,Screw Cap,Australia,2016*,Trumps Shiraz,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,750mL,8.9,Shiraz,Dry,,Barossa Valley,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
83,14.0%,Yalumba,Screw Cap,Australia,2017*,Y Series Cabernet Sauvignon,$9.90 in any six,$59.40 per case of 6,$9.95 per bottle,750mL,8.3,Cabernet Sauvignon,Dry,,,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,true
84,14%,Capel Vale,Screw Cap,Australia,2017*,Cabernet Sauvignon,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,750mL,8.3,Cabernet Sauvignon,Dry,,Margaret River,Western Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
85,14.5%,Z Wines,Screw Cap,Australia,2017*,Rustica Grenache,$14.30 in any six,$85.80 per case of 6,$14.99 per bottle,750mL,8.6,Grenache,Dry,,Barossa Valley,South Australia,Medium Bodied,Awards: Gold 95/100 in the James Halliday Grenache Challenge,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 20 of 33 Grenache from Barossa Valley,,
86,14.5% (2014),Penfolds,Screw Cap,Australia,,Bin 138 Shiraz Grenache Mataro 2014,$37.10 in any six,$222.60 per case of 6,$38.99 per bottle,750mL,8.6 (2014),Shiraz Grenache Mataro,Dry,,Barossa Valley,South Australia,,,,,,
87,13%,Lindeman's,Screw Cap,Australia,2017*,Cawarra Merlot,$5.15 in any six,$30.90 per case of 6,$5.40 per bottle,750mL,7.7,Merlot,Dry,,,,Medium Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
88,13.50%,Renmano,Cask Closure,Australia,Non Vintage,Shiraz Cabernet Merlot Cask 4L,$57.20 per case of 4,$14.99 each,,4L,43,Shiraz Cabernet Merlot,Dry,,,,,,,,,
89,14% (2016),Craftsman,Screw Cap,Australia,2016*,Pinot Noir,$6.65 in any six,$39.90 per case of 6,$7.00 per bottle,750mL,8.3 (2016),Pinot Noir,Dry,,Yarra Valley,Victoria,Light Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
90,14.5%,The Black Chook,Screw Cap,Australia,2016*,Shiraz,$16.15 in any six,$96.90 per case of 6,$16.99 per bottle,750mL,8.6,Shiraz,Dry,,McLaren Vale/ Padthaway,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
91,13.5%,Best's Great Western,Screw Cap,Australia,2017*,Bin 1 Shiraz,$23.75 in any six,$285.00 per case of 12,$24.99 per bottle,750mL,8.0,Shiraz,Dry,,Grampians,Victoria,Full Bodied,Awards: Trophy - National Wine Show of Australia 2015,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 19 of 41 Shiraz from Victoria,,
92,14.5%,Majella,Screw Cap,Australia,2015*,Cabernet Sauvignon,$35.20 in any six,$422.40 per case of 12,$36.99 per bottle,750mL,8.6,Cabernet Sauvignon,Dry,Excellent,Coonawarra,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 12 of 30 Cabernet Sauvignon from Coonawarra,,,
93,14.0%,Taylors,Screw Cap,Australia,2015*,Eighty Acres Cabernet Shiraz Merlot,Member Offer$16.00 for 2 bottles,$13.99 per bottle,$79.80 per case of 6,750mL,8.3,Cabernet Shiraz Merlot,Dry,,Clare Valley,South Australia,,$13.30 in any six,"Awards: Gold - Berliner Wine Trophy 2017, Double Gold - China Wine & Spirits Awards Best Value 2017","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,
94,14.5%,Parker Coonawarra Estate,Screw Cap,Australia,2016*,Terra Rossa Cabernet Sauvignon,$29.95 in any six,$179.70 per case of 6,$29.95 per bottle,750mL,8.6,Cabernet Sauvignon,Dry,,Coonawarra,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 7 of 21 Cabernet Sauvignon from Coonawarra,,,
95,14.50%,Wirra Wirra,Screw Cap,Australia,,Angelus Cabernet Sauvignon 2009,$89.99 per bottle,$513.00 per case of 6,$85.50 in any six,750mL,8.6,Cabernet Sauvignon,Dry,,McLaren Vale,South Australia,Full Bodied,Ranked 2 of 27 Cabernet Sauvignon from McLaren Vale,,,,
96,14.5,Paxton,Screw Cap,Australia,Screw Cap,EJ Shiraz,$100.00 per bottle,$600.00 per case of 6,Dry Red,750mL,8.2,Shiraz,Dry,,McLaren Vale,WNE,,,,,,
97,14.5%,Kaesler,Cork,Australia,2012,Old Bastard Shiraz 2012,$190.00 in any six,"$1,140.00 per case of 6",$199.99 per bottle,750mL,8.6,Shiraz,Dry,Outstanding,Barossa Valley,South Australia,Full Bodied,,,,,
98,14.0% (2013),Deep Woods,Screw Cap,Australia,2013*,Reserve Cabernet Sauvignon,$56.99 in any six,$341.94 per case of 6,$59.99 per bottle,750mL,8.3 (2013),Cabernet Sauvignon,Dry,,Margaret River,Western Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 13 of 72 Cabernet Sauvignon from Margaret River,,,
99,14.5%,Cleanskin,Screw Cap,Australia,2017*,No 51 Barossa Shiraz,$9.49 in any six,$56.94 per case of 6,$9.99 per bottle,750mL,8.6,Shiraz,Dry,,Barossa Valley,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
100,14%,Evans & Tate,Screw Cap,Australia,2016*,Classic Margaret River Cabernet Merlot,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,750mL,8.3,Cabernet Merlot,Dry,,Margaret River,Western Australia,Medium Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
101,7%,Gossips,Screw Cap,Australia,2018*,Sweet Lips Dolcetto & Syrah,$4.30 in any six,$25.80 per case of 6,$4.49 per bottle,750mL,4.1,Dolcetto and Shiraz,Sweet,,,,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
102,14.5%,Audrey Wilkinson,Screw Cap,Australia,2017*,Shiraz,$18.05 in any six,$108.30 per case of 6,$18.99 per bottle,750mL,8.6,Shiraz,Dry,,Hunter Valley,New South Wales,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 39 of 75 Shiraz from Lower Hunter,,,
103,14.5%,Tatachilla,Screw Cap,Australia,2017*,Reserve Shiraz,$14.30 in any six,$85.80 per case of 6,$14.99 per bottle,750mL,8.6,Shiraz,Dry,,McLaren Vale,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
104,14.5%,d'Arenberg,Screw Cap,Australia,2015,The Dead Arm Shiraz,$64.60 in any six,$387.60 per case of 6,$67.99 per bottle,750mL,8.3,Shiraz,Dry,Outstanding,McLaren Vale,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 57 of 95 Shiraz from McLaren Vale,,,
105,14.3%,Coriole,Screw Cap,Australia,2017*,Sangiovese,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,750mL,8.5,Sangiovese,Dry,,McLaren Vale,South Australia,Medium Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
106,13.5%,Katnook Estate,Screw Cap,Australia,2017*,Founder's Block Cabernet Sauvignon,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,750mL,8.0,Cabernet Sauvignon,Dry,,Coonawarra,South Australia,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
107,,,,,,Unknown,,,,,,,,,,,,,,,,
