,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 4,Langtons Classified,Price Option 5,Vegan Friendly,Organic
70,14.5%,O'Leary Walker,Screw Cap,Australia,2016*,Shiraz,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Ranked 21 of 21 Shiraz from Clare Valley,,,,
71,14%,De Bortoli,Screw Cap,Australia,2017,Down The Lane Shiraz Tempranillo,$10.50 in any six,$63.00 per case of 6,$10.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.3,,Shiraz Tempranillo,,Dry,,,,,
72,14.0%,Jamiesons Run,Screw Cap,Australia,2018*,Limestone Coast Merlot,$11.40 in any six,$68.40 per case of 6,$10.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Limestone Coast,750mL,8.3,South Australia,Merlot,Medium Bodied,Dry,,,,,
73,14.5%,Teusner,Screw Cap,Australia,2017*,The Gentleman Cabernet Sauvignon,$20.00 in any six,$120.00 per case of 6,$20.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Eden Valley,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
74,14.5%,Pirramimma,Cork,Australia,2015*,Petit Verdot,$23.75 in any six,$140.95 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Petit Verdot,,Dry,,,,,
75,15.0%,Murray Street Vineyards,Screw Cap,Australia,2015*,White Label Shiraz,$23.75 in any six,$142.50 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,,,
76,13.5%,Baily & Baily,Screw Cap,Australia,2014*,Venture Coonawarra Cabernet Sauvignon 750mL,$9.50 in any six,$57.00 per case of 6,$9.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.0,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
77,15.0%,Rutherglen Estates,Screw Cap,Australia,2016*,Red,$14.30 in any six,$171.60 per case of 12,$14.99 per bottle,"Awards: 2 Silver - Royal Queensland Wine Show 2013, Cowra Wine Show 2013",Rutherglen,750mL,8.9,Victoria,Shiraz Durif,,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 13 of 15 Shiraz from Victoria,,
78,13.5% (2014),Savaterre,Screw Cap,Australia,2014*,Frere Cadet Pinot Noir,$42.80 in any six,$256.80 per case of 6,$44.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Beechworth,750mL,8.0 (2014),Victoria,Pinot Noir,Light Bodied,Dry,,,,,
79,14%,Kay Brothers Amery Vineyards,Screw Cap,Australia,2016*,Basket Pressed Shiraz,$28.50 in any six,$342.00 per case of 12,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,,
