,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 3,Current Vintage,Langtons Classified,Price Option 4,Organic
63,12.5%,Side Steps,Screw Cap,Australia,McLaren Vale Rosé 2017,,,,McLaren Vale,750mL,7.4,Victoria,Rose,,,,2017,,,
64,14.0% (2011),Shingleback,Screw Cap,Australia,Black Prince Shiraz Cabernet Sauvignon,$7.99 in any six,$47.94 per case of 6,$7.99 per bottle,McLaren Vale,750mL,8.3 (2011),South Australia,Shiraz Cabernet,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2011*,,,
65,13.50%,Penfolds,Cork,Australia,Bin 389 Cabernet Shiraz 2000,$139.99 per bottle,,,,750mL,8,South Australia,Cabernet Shiraz,Full Bodied,Dry,,2000,Outstanding,,
66,14.00%,Majella,Cork,Australia,Cabernet Sauvignon 2001,$66.50 in any six,$798.00 per case of 12,$69.99 per bottle,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Awards: Trophy - Brisbane Wine Show 2002,2001,Excellent,,
67,14.5% (2011),Evans & Tate,Screw Cap,Australia,Gnangara Cabernet Merlot,$8.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.6 (2011),Western Australia,Cabernet Merlot,Medium Bodied,Dry,,2011,,,
68,13.50%,Wynns,Cork,Australia,Black Label Cabernet Sauvignon 2000,$69.99 per bottle,Ranked 13 of 20 Cabernet Sauvignon from Australia,,Coonawarra,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,2000,Excellent,,
69,12.50%,Mount Mary,Cork,Australia,Quintet 1998,$219.99 per bottle,,,Yarra Valley,750mL,7.4,Victoria,Red Blend,,Dry,,1998,Exceptional,,
70,14.50%,Barossa Valley Estate,Cork,Australia,E & E Black Pepper Shiraz 1996,$154.99 per bottle,,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,1996,Outstanding,,
71,14.50%,Heathcote Estate,Cork,Australia,Shiraz 2003,$36.99 in any six,$427.80 per case of 6,$74.99 per bottle,Heathcote,750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,Ranked 10 of 22 Shiraz from Central Victoria,2003,,,
72,14.00%,Heathcote Estate,Cork,Australia,Shiraz 2004,$37.99 in any six,$225.55 per case of 6,$39.99 per bottle,Heathcote,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,Ranked 2 of 29 Shiraz from Heathcote,2004,,,
73,13.60%,Henschke,Cork,Australia,Cyril Henschke Cabernet Sauvignon 1995,$259.99 per bottle,,,Eden Valley,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,1995,Outstanding,,
74,14.50%,Henschke,Cork,Australia,Cyril Henschke Cabernet Sauvignon 1997,,,,Eden Valley,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,1997,Outstanding,,
75,13.50%,Lindeman's,Cork,Australia,Coonawarra Trio Limestone Ridge Shiraz Cabernet 2001,$74.99 per bottle,,,Coonawarra,750mL,8,South Australia,Shiraz Cabernet,Full Bodied,Dry,,2001,Excellent,,
76,13.5% (2014),Hardys,Screw Cap,Australia,Siegersdorf Cabernet Shiraz,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Langhorne Creek,750mL,8.0 (2014),South Australia,Cabernet Shiraz,Full Bodied,Dry,,2014*,,,
77,14.0% (2012),Leconfield,Screw Cap,Australia,Cabernet Merlot,$28.99 per bottle,$165.30 per case of 6,$27.55 in any six,Coonawarra,750mL,8.3 (2012),South Australia,Cabernet Merlot,Medium Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2012*,,Ranked 42 of 63 Cabernet Sauvignon from South Australia,
78,6.0% (2012),Santaro,Screw Cap,Australia,Moscato Rosa,$5.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,3.6 (2012),,Moscato,Light Bodied,Semi Sweet,,2012*,,,
79,13.5% (2010),Mcalister,Cork,Australia,The Mcalister Cabernet Blend,$39.88 in any six,$478.56 per case of 12,$39.88 per bottle,Gippsland,750mL,8 (2010),Victoria,Red Blend,,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2010*,,,
80,14.00%,Charles Melton,Cork,Australia,Nine Popes 1999,,,,Barossa Valley,750mL,8.3,South Australia,Grenache Shiraz Mourvedre,Medium Bodied,Dry,,1999,Excellent,,
81,14.0% (2010),Heathcote Winery,Screw Cap,Australia,Cravens Place Shiraz,$13.90 in any six,$166.80 per case of 12,$13.90 per bottle,Heathcote,750mL,8.3 (2010),Victoria,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2010*,,,
82,14.00%,St Hallett,Screw Cap,Australia,Reward Cabernet Sauvignon 2012,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,Barossa Valley,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Ranked 17 of 26 Cabernet Sauvignon from Barossa Valley,,,,
83,13.0% (2007),Treehouse,Screw Cap,Australia,Cabernet Merlot,$18.99 in any six,$227.88 per case of 12,$19.99 per bottle,Pemberton,750mL,7.7 (2007),Western Australia,Cabernet Merlot,Medium Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2007*,,,
84,14.5% (2008),Penfolds,Cork,Australia,Magill Estate Shiraz,$90.25 in any six,$535.75 per case of 6,$94.99 per bottle,,750mL,,South Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",2008*,Excellent,,
