,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 4,Price Option 5,Langtons Classified,Vegan Friendly
19,14.3%,George Wyndham,Screw Cap,Australia,2017*,Bin 555 Shiraz,$7.95 in any six,$47.70 per case of 6,$7.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.5,New South Wales,Shiraz,Full Bodied,Dry,,,,
20,14.5%,Wolf Blass,Screw Cap,Australia,2016,Grey Label Cabernet Shiraz,$27.90 in any six,$167.40 per case of 6,$29.40 per bottle,Awards: Double Gold - San Francisco International Wine Competition 2016,Robe,750mL,8.6,South Australia,Cabernet Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
21,14.5,Old Jarvie,Screw Cap,Australia,2016,The Enforcer Red Blend,$29.99 per bottle,$179.95 per case of 6,,,McLaren Vale,750mL,8.6,,Shiraz Mataro Malbec,,Red Blends,,,,
22,14.5%,Chris Ringland,Screw Cap,Australia,2017*,CR Shiraz,$21.95 in any six,$131.70 per case of 6,$21.95 per bottle,Awards: Gold San Francisco Wine show 2018,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
23,14.5%,Secret Selection,,Australia,2014,McLaren Vale Cabernet Shiraz 2014,Online Offer$34.90 per bottle,$85.50 in any six,$513.00 per case of 6,$89.99 per bottle,McLaren Vale,750mL,8.6,,Cabernet Shiraz,,,,,,
24,14.7%,Driftwood,Screw Cap,Australia,2015,The Collection Margaret River Cabernet Merlot 2015,$18.10 in any six,$217.20 per case of 12,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.9,Western Australia,Cabernet Merlot,,,,,,
25,14.5,Monterra,Screw Cap,Australia,,McLaren Vale Cabernet Sauvignon 2016,$27.99 per bottle,$167.94 per case of 6,Awards: Gold Medal China Wine and Spirits Awards 2018,,McLaren Vale,750mL,8.6,,Cabernet Sauvignon,,,,,,
26,13%,Secret Selection,Screw Cap,Australia,2018,Eden Valley Pinot Rosé 2018,Online Offer$9.90 per bottle,$34.99 per bottle,$199.80 per case of 6,$33.30 in any six,,750mL,7.7,,Rosé,,Dry,,,,
27,14.5%,Penfolds,Screw Cap,Australia,2016*,Max's Shiraz,$31.40 in any six,$188.40 per case of 6,$32.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
28,,,,,,Unknown,,,,,,,,,,,,,,,
29,13.5%,Shark Point,Screw Cap,Australia,2017,Mornington Pinot Noir 2017,Delivery Offer$15.90 per bottle,$33.30 in any six,$399.60 per case of 12,$35.99 per bottle,Mornington Peninsula,750mL,8,Victoria,Pinot Noir,,,,,,
