,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 4,Price Option 5,Langtons Classified,Vegan Friendly
91,14.3%,Jacob's Creek,Screw Cap,Australia,2017*,Reserve Shiraz,$11.95 in any six,$71.70 per case of 6,$11.95 per bottle,Awards: Gold Medal - Royal Adelaide Wine Show 2016,,750mL,8.5,South Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 13 of 32 Shiraz from Barossa Valley,,
92,14.5%,Penfolds,Screw Cap,Australia,2016*,Koonunga Hill Cabernet Sauvignon,$10.95 in any six,$65.70 per case of 6,$10.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
93,13%,Stonier,Screw Cap,Australia,2017*,Pinot Noir,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,7.7,Victoria,Pinot Noir,Light Bodied,Dry,Ranked 10 of 23 Pinot Noir from Mornington Peninsula,,,
94,13.5% (2012),Templeton,Screw Cap,Australia,2012*,Barossa Shiraz,Member Offer$15.00 per bottle,$20.90 in any six,$125.40 per case of 6,$21.99 per bottle,Barossa Valley,750mL,8 (2012),South Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
95,13.7%,Wynns,Screw Cap,Australia,2016*,The Siding Cabernet Sauvignon,$17.09 in any six,$102.54 per case of 6,$16.70 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.1,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
96,13%,Secret Selection,,Australia,2015,Margaret River Shiraz 2015,Online Offer$33.90 per bottle,$71.30 in any six,$427.80 per case of 6,$74.99 per bottle,Margaret River,750mL,7.7,Western Australia,Shiraz,,,,,,
97,14.5%,Ulithorne,Screw Cap,Australia,2016,Unicus Shiraz 2016,$46.60 in any six,$279.60 per case of 6,$48.99 per bottle,,McLaren Vale,750mL,8.6,South Australia,Shiraz,,,,,,
98,14.0%,Henschke,Screw Cap,Australia,2014,Keyneton Euphonium,$44.70 in any six,$268.20 per case of 6,$46.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.3,South Australia,Red Blend,,Dry,Ranked 7 of 23 Shiraz from Barossa,,Excellent,
99,12%,Bird In Hand,Screw Cap,Australia,2018*,Pinot Rosé,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,7.1,South Australia,Pinot Noir,Light Bodied,Dry,Ranked 18 of 35 Pinot Noir from Australia,,,
100,14%,Taylors,Screw Cap,Australia,2017*,Estate Cabernet Sauvignon,$13.25 in any six,$79.50 per case of 6,$13.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
101,14.5%,Angove,Screw Cap,Australia,2015,The Medhyk Old Vine Shiraz 2015,$64.99 per bottle,$366.60 per case of 6,$61.80 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
102,14.5,Colab and Bloom,Screw Cap,Australia,2016,Barossa Valley Shiraz 2017,$19.95 per bottle,$119.70 per case of 6,Awards: Silver Medal - China Wine & Spirits Awards 2018,Ranked 90 of 108 Shiraz from Barossa Valley,Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,
103,14.5% (2008 & 2010),Penfolds,Cork,Australia,2008/2010,Grange Magnum Twin Pack 2008 and 2010,"$3,500.00 per pack",,,,,2 x 1.5L,17.2 (2008 & 2010),South Australia,Shiraz,,Dry,,,,
104,13.8%,St Hallett,Screw Cap,Australia,2012,Old Block Shiraz 2012,$133.00 in any six,$798.00 per case of 6,$139.99 per bottle,,Various,750mL,8.2,South Australia,Shiraz,,,,,,
105,14.0%,Secret Selection,Screw Cap,Australia,2016,McLaren Vale Shiraz Grenache 2016,Online Offer$9.90 per bottle,$19.00 in any six,$228.00 per case of 12,$19.99 per bottle,McLaren Vale,750mL,8.3,South Australia,Shiraz Grenache,Medium Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
106,14.5%,St Hugo,Screw Cap,Australia,2015*,Cabernet Sauvignon,$37.95 in any six,$227.70 per case of 6,$39.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,Excellent,
107,14.5%,Taylors,Screw Cap,Australia,2017*,Jaraman Shiraz,$22.70 in any six,$136.20 per case of 6,$23.90 per bottle,Awards: Worlds Most Awarded Wine 2017 - World Association of Wine Writers and Journalists (WAWWJ) - Taylors Jaraman Shiraz 2014,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
108,13.5%,Yarra Yering,Screw Cap,Australia,2015*,Pinot Noir,$95.00 in any six,"$1,140.00 per case of 12",$99.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,8.0,Victoria,Pinot Noir,Light Bodied,Dry,,,,
109,13.5%,Riposte,Screw Cap,Australia,2017,The Dagger Pinot Noir 2017,$18.00 in any six,$216.00 per case of 12,$18.89 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,8,South Australia,Pinot Noir,Light Bodied,Dry,,,,
110,14%,St Hallett,Screw Cap,Australia,2017*,Faith Shiraz,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,
111,13.5%,Yalumba,Cork,Australia,2010,The Octavius 2010,$118.80 in any six,$712.80 per case of 6,$124.99 per bottle,"Awards: Decanter World Wine Awards, 2016: Bronze 
International Wine Challenge, 2016: Bronze 
Sydney International Wine Competition, 2016: Gold",Eden Valley,750mL,8,South Australia,Shiraz,,,,,,true
112,6.5%,Brown Brothers,Screw Cap,Australia,2018*,Moscato Rosa,$10.40 in any six,$62.40 per case of 6,$10.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,3.8,Victoria,Moscato,Light Bodied,Semi Sweet,,,,
113,11.5%,Yalumba,Screw Cap,Australia,2018*,Y Series Sangiovese Rosé,$9.90 in any six,$59.40 per case of 6,$9.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,6.8,South Australia,Sangiovese,Light Bodied,Dry,,,,true
114,14%,Secret Selection,Screw Cap,Australia,2016*,Margaret River Shiraz 2016,Online Offer$33.90 per bottle,$71.30 in any six,$427.80 per case of 6,$74.99 per bottle,Margaret River,750mL,8.3,Western Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
115,13%,Turkey Flat,Screw Cap,Australia,2018*,Rosé,$20.00 in any six,$120.00 per case of 6,$20.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,7.7,South Australia,Red Blend,Light Bodied,Dry,,,,
116,,,,,,Unknown,,,,,,,,,,,,,,,
117,11.5%,Yalumba,Screw Cap,Australia,2018*,Y Series Sangiovese Rosé,$9.90 in any six,$59.40 per case of 6,$9.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,6.8,South Australia,Sangiovese,Light Bodied,Dry,,,,true
118,13.5%,De Bortoli,Cask Closure,Australia,Non Vintage*,Premium Cabernet Merlot Cask 4L,$27.90 per case of 2,$18.95 each,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,4L,43.0,,Cabernet Merlot,,Dry,,,,
119,14.5%,Mount Stapylton,Screw Cap,Australia,2014,Ivan Shiraz 2014,$42.80 in any six,$256.80 per case of 6,$44.99 per bottle,Awards: Gold Medal - China Wine and Spirits Awards 2016,Grampians,750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,,,,
120,,,,,,Unknown,,,,,,,,,,,,,,,
121,14.5%,Penfolds,Screw Cap,Australia,2012,Bin 389 Cabernet Shiraz 2012,$104.50 in any six,$627.00 per case of 6,$109.99 per bottle,Ranked 8 of 63 Cabernet Sauvignon from South Australia,,750mL,8.6,South Australia,Cabernet Shiraz,Full Bodied,Dry,,,Outstanding,
122,13.5%,Ninth Island,Screw Cap,Australia,2017*,Pinot Noir,$16.95 per bottle,$96.60 per case of 6,$16.10 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Northern Tasmania,750mL,8.0,Tasmania,Pinot Noir,Light Bodied,Dry,,,,
123,14.5%,Penfolds,Screw Cap,Australia,2012,Bin 707 Cabernet Sauvignon 2012,$521.60 in any six,"$3,129.60 per case of 6",$549.00 per bottle,,,750mL,8.6,South Australia,Caberent Sauvignon,Full Bodied,Dry,,,Exceptional,
