,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Organic
105,13.00%,Chocolate Shop,Screw Cap,Australia,Non Vintage,The Chocolate Lover's Wine,$15.20 in any six,$90.60 per case of 6,$15.99 per bottle,,,,750mL,7.7,South Australia,Shiraz,Full Bodied,Dry,,
106,14.0% (2014),Kangarilla Road,Screw Cap,Australia,2014*,Glimmer of Hope Shiraz,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,McLaren Vale,750mL,8.3 (2014),South Australia,Shiraz,Full Bodied,Dry,,
107,12.50%,Morris,Cask Closure,Australia,Non Vintage,Dry Red Cask 4L,,,,,,,4L,39,Victoria,Red Blend,,Dry,,
108,14.00%,Dalwhinnie,Cork,Australia,1992,Moonambel Shiraz 1992,$80.80 in any six,$84.99 per bottle,,,,Pyrenees,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,Excellent,
109,9.00%,Banrock Station,Cask Closure,Australia,Non Vintage,Infusions Rosé infused with Strawberry & Lychee Cask 2L,$9.90 each,,,,,,2L,14.2,,Red Blend,Light Bodied,Sweet,,
110,15.00%,Craftsman,Screw Cap,Australia,2010*,Reserve Shiraz Golf Gift Pack,$18.99 per pack,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,Barossa Valley,750mL,8.9,South Australia,Shiraz,,Dry,,
111,14.90%,Torbreck,Cork,Australia,2004,The Steading Grenache Shiraz Mataró 2004,$39.99 per bottle,,,,,Barossa Valley,750mL,8.8,South Australia,Grenache Shiraz Mourvèdre,,Dry,,
112,14.50%,Willunga 100,,Australia,2010,Shiraz Viognier 2010,$21.85 in any six,$129.69 per case of 6,$22.99 per bottle,Awards: Trophy - Boutique Wine Awards 2012 (Best Shiraz Viognier of Show). Gold - Royal Melbourne Wine Show 2012,,McLaren Vale,750mL,8.6,South Australia,Shiraz Viognier,,Dry,,
113,14.50%,Willunga 100,Screw Cap,Australia,2010,The Tithing Grenache 2010,$37.99 in any six,$225.55 per case of 6,$39.99 per bottle,Awards: Trophy - Boutique Wine Awards 2012 (Best Shiraz Viognier of Show). Gold - Royal Melbourne Wine Show 2012,Ranked 16 of 24 Grenache from McLaren Vale,McLaren Vale,750mL,8.6,South Australia,Grenache,Medium Bodied,Dry,,
114,14.00%,Wynns,Screw Cap,Australia,2008,John Riddoch Cabernet Sauvignon 2008,$149.99 per bottle,Ranked 10 of 44 Cabernet Sauvignon from Coonawarra,,,,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Exceptional,
115,14.50%,Rockford,,Australia,,Basket Press Shiraz 1993,$199.99 per bottle,,,,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Exceptional,
116,15.00%,Wild Duck Creek,Screw Cap,Australia,1999,Springflat Shiraz 1999,$72.99 per bottle,,,,,Heathcote,750mL,8.9,Victoria,Shiraz,Full Bodied,Dry,Excellent,
117,13.00%,Giaconda,Cork,Australia,1994,Pinot Noir 1994,$102.99 per bottle,,,,,Beechworth,750mL,7.7,Victoria,Pinot Noir,Light Bodied,Dry,,
118,14.50%,St Hallett,Screw Cap,Australia,,Blackwell Shiraz 2007,$42.75 in any six,$256.50 per case of 6,$44.99 per bottle,,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,
119,14.5% (2011),Parcel 74M,Screw Cap,Australia,2011*,Cabernet Sauvignon,$19.90 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,McLaren Vale,750mL,8.6 (2011),South Australia,Cabernet Sauvignon,Full Bodied,Dry,,
