,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 3,Langtons Classified,Price Option 4,Organic,Vegan Friendly
54,14.00%,John Duval,Screw Cap,Australia,2006,Plexus 2006,$69.99 per bottle,Ranked 1 of 22 Shiraz from Barossa Valley,,Barossa Valley,750mL,8.3,South Australia,Shiraz Grenache Mourv?dre,Full Bodied,Dry,,Excellent,,,
55,13.00%,Bass Phillip,Cork,Australia,2011,Premium Pinot Noir 2011,$179.99 per bottle,Ranked 8 of 93 Pinot Noir from Victoria,,Gippsland,750mL,7.7,Victoria,Pinot Noir,Light Bodied,Dry,,,,,
56,14.0% (2007),Castagna,,Australia,2007*,Sauvage,$38.00 in any six,$228.00 per case of 6,$39.99 per bottle,Beechworth,750mL,8.3 (2007),Victoria,Shiraz Viognier Sangiovese,,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
57,14.2%,St Hugo,Cork,Australia,2010,Cabernet Sauvignon 2010,Ranked 20 of 49 Cabernet Sauvignon from Coonawarra,,,Coonawarra,750mL,8.4,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
58,14.50%,Wolf Blass,Screw Cap,Australia,,Brown Label Classic Shiraz 2012,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Awards: Gold Medal - San Francisco International Wine Competition 2016,,Ranked 343 of 448 Shiraz from South Australia,,
59,15.00%,Cleanskin,Screw Cap,Australia,2016,GR13 Great Western Shiraz 2016,$9.50 in any six,$9.99 per bottle,,Grampians,750mL,8.9,Victoria,,Full Bodied,Dry,,,,,
60,14.5% (2014),Willunga 100,Screw Cap,Australia,2014*,The Hundred Grenache,$28.49 in any six,$170.94 per case of 6,$29.99 per bottle,McLaren Vale,750mL,8.6 (2014),South Australia,Grenache,Medium Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 10 of 25 Grenache from McLaren Vale,,
61,14.2%,St Hugo,Cork,Australia,2010,Cabernet Sauvignon 2010,Ranked 20 of 49 Cabernet Sauvignon from Coonawarra,,,Coonawarra,750mL,8.4,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
62,14.4% (2014),Redgate,Screw Cap,Australia,2014*,Bin 588 Cabernet Merlot,$18.10 in any six,$217.20 per case of 12,$18.99 per bottle,Margaret River,750mL,8.5 (2014),Western Australia,Cabernet Merlot,Medium Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
63,13.5% (2010),Bass,Screw Cap,Australia,2010*,Strait Pinot Noir,$21.85 in any six,$262.20 per case of 12,$22.99 per bottle,,750mL,8 (2010),Tasmania,Pinot Noir,Light Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
