,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Style,Price Option 4,Wine Body,Price Option 5,Vegan Friendly,Langtons Classified,Organic
77,14%,Printhie,Screw Cap,Australia,2017*,Mountain Range Merlot,$18.05 in any six,$216.60 per case of 12,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Orange,750mL,8.3,New South Wales,Merlot,Dry,,Medium Bodied,,,,
78,13.5,Beelgara Estate,Screw Cap,Australia,,Shiraz 2017,$9.50 per bottle,$108.00 per case of 12,,,NSW,750mL,8,New South Wales,Shiraz,,,Full Bodied,,,,
79,13.5,Moss Brothers,Screw Cap,Australia,,Moss Brothers Cabernet Sauvignon 2017,$17.99 per bottle,$107.94 per case of 6,,,Margaret River,750ml,8.0,New South Wales,Cabernet Sauvignon,,,,,,,
80,14.7% (2009),The Willows,Screw Cap,Australia,2009*,Vineyard Shiraz,$26.60 in any six,$319.20 per case of 12,$27.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.7 (2009),South Australia,Shiraz,Dry,,Full Bodied,,,,
81,14.50%,Penley Estate,Screw Cap,Australia,,Phoenix Cabernet Sauvignon 2011,$26.60 in any six,$159.60 per case of 6,$27.99 per bottle,,Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Dry,,Full Bodied,,,,
82,14.50%,Rymill,Cork,Australia,,Cabernet Sauvignon 2010,$35.15 in any six,$210.90 per case of 6,$36.99 per bottle,Ranked 22 of 49 Cabernet Sauvignon from Coonawarra,Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Dry,,Full Bodied,,,,
83,13.0%,Bannockburn,Cork,Australia,2016*,Pinot Noir,$52.25 in any six,$313.50 per case of 6,$54.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Geelong,750mL,7.7,Victoria,Pinot Noir,Dry,Ranked 9 of 21 Pinot Noir from Geelong,Light Bodied,,,,
84,14%,Montrose,Screw Cap,Australia,2017*,Black Shiraz,$25.70 in any six,$154.20 per case of 6,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mudgee,750mL,8.3,New South Wales,Shiraz,Dry,,Full Bodied,,,,
85,14.0%,Pitchfork,Screw Cap,Australia,2016*,Cabernet Merlot,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.4,Western Australia,Cabernet Merlot,Dry,Ranked 32 of 34 Cabernet Sauvignon from Margaret River,Medium Bodied,,,,
86,13.5% (2012),Bimbadgen,Screw Cap,Australia,2012*,Shiraz Cabernet Merlot,$17.10 in any six,$205.20 per case of 12,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hunter Valley,750mL,8 (2012),New South Wales,Shiraz Cabernet Merlot,Dry,,,,,,
87,13.5%,Katnook,Screw Cap,Australia,2015*,Founders Block Merlot,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.0,,,Dry,Ranked 27 of 29 Merlot from South Australia,Medium Bodied,,,,
88,14%,Tahbilk,Screw Cap,Australia,2015*,Cabernet Sauvignon,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Goulburn Valley,750mL,8.3,Victoria,Cabernet Sauvignon,Dry,,Full Bodied,,,,
89,13.2% (2014),Bimbadgen,Screw Cap,Australia,2014*,Shiraz,$16.99 in any six,$194.40 per case of 12,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Hunter Valley,750mL,7.8 (2014),New South Wales,Shiraz,Dry,,Full Bodied,,,,
90,14.5% (2017),Stonyfell,Screw Cap,Australia,2017*,The Cellars Shiraz Cabernet,Member Offer$15.99 for 2 bottles,$15.19 in any six,$91.14 per case of 6,$15.99 per bottle,Langhorne Creek,750mL,8.6 (2017),South Australia,Shiraz Cabernet,Dry,Awards: Trophy/Top Gold - Langhorne Creek Wine Show 2018,Full Bodied,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
91,14.8% (2016),Fowles Wine,Screw Cap,Australia,2016*,Farm to Table Shiraz,$14.30 in any six,$85.80 per case of 6,$14.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.3 (2014),Victoria,Shiraz,Dry,,Full Bodied,,,,
92,14%,Best's Great Western,Screw Cap,Australia,2016*,Cabernet Sauvignon,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 6 of 25 Cabernet Sauvignon from Victoria,,Grampians,750mL,8.3,Victoria,Cabernet Sauvignon,Dry,,Full Bodied,,,,
93,14.50%,Elderton,,Australia,,Ashmead Cabernet Sauvignon 2005,$99.99 per bottle,,,,Barossa Valley,750mL,8.6,South Australia,Cabernet Sauvignon,Dry,,Full Bodied,,,,
94,14.5% (2013),Spinifex,Screw Cap,Australia,2013*,Esprit,$33.30 in any six,$399.60 per case of 6,$34.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.6 (2013),South Australia,Grenache Mataro,Dry,,Medium Bodied,,,,
95,14.499999999999998%,Romeo del Castello,,Australia,,Allegracore Etna Rosso,$49.95 per bottle,$599.40 per case of 12,,,,750ml,8.5,,Nerello Mascalese,,,,,,,
