,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,Varietal,Region,State,Wine Style,Vegan Friendly,Wine Body,Price Option 4,Langtons Classified
104,10.50%,Sorby Adams,Screw Cap,Australia,,Jellicoe Riesling 2013,$33.30 in any six,$199.80 per case of 6,$34.99 per bottle,,750mL,5.3,Riesling,Eden Valley,South Australia,Dry,,,,
105,13.5%,Leeuwin Estate,Cork,Australia,2013*,Art Series Chardonnay Magnum 1.5L,$237.50 in any six,$712.50 per case of 3,$249.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",1.5L,16,Chardonnay,Margaret River,Western Australia,,,,,
106,13.5%,Rockcliffe,Screw Cap,Australia,2017,Singlesite Chardonnay 2017,$42.80 in any six,$256.80 per case of 6,$44.99 per bottle,,750mL,8.3,Chardonnay,Great Southern,Western Australia,,,,,
107,12.5% (2015),Penna Lane,Screw Cap,Australia,2015*,Skilly Valley Riesling,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.4 (2015),Riesling,Clare Valley,South Australia,Dry,,,Ranked 43 of 55 Riesling from Clare Valley,
108,14.5% (2012),Wignalls,Screw Cap,Australia,2012*,Sauvignon Blanc,$19.00 in any six,$228.00 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6 (2012),Sauvignon Blanc,,Western Australia,Dry,,,,
109,12.0% (2009),Summit Estate,Screw Cap,Australia,2009*,Verdelho,$12.88 in any six,$154.56 per case of 12,$12.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.1 (2009),Verdelho,Granite Belt,Queensland,Dry,,,,
110,Various,Rosabrook,Screw Cap,Australia,,Mixed 6 Pack,$129.95 per pack of 6,Awards: Gold Medal Langton’s 2017 Margaret River Wine Show,,,750mL,8,Various,Margaret River,Western Australia,Dry,,,,
111,Various,Rosabrook,Screw Cap,Australia,,Mixed 6 Pack,$129.95 per pack of 6,Awards: Gold Medal Langton’s 2017 Margaret River Wine Show,,,750mL,8,Various,Margaret River,Western Australia,Dry,,,,
112,13.3%,La Cantina King Valley,Screw Cap,Australia,,No Preservatives Added Pinot Grigio 2017,$16.00 per bottle,$192.00 per case of 12,,,750ml,7.9,Pinot Grigio,,Victoria,Dry,true,Medium Bodied,,
113,12.8%,Oakdene Wines,Screw Cap,Australia,,Single Vineyard Liz's Chardonnay 2017,$189.00 per pack of 6,$378.00 per case of 12,,,750mL,7.6,Chardonnay,Geelong,Victoria,Dry,true,Medium Bodied,,
114,12,Grove Estate,Crown Seal,Australia,,Flanders Fields Methode Champenoise,$25.00 per bottle,$150.00 per case of 6,,,750ml,7.1,"Chardonnay, Pinot Noir",Hilltops,New South Wales,Semi Dry,,Medium Bodied,,
115,13%,Merindoc,Screw Cap,Australia,,Riesling 2018,$27.00 per bottle,$162.00 per case of 6,,,750mL,7.6,Riesling,Heathcote,Victoria,Dry,,Light Bodied,,
116,12%,Nuova Scuola,Screw Cap,Australia,,2018 Viognier,$140.00 per pack of 6,$264.00 per case of 12,,,750mL,7.1,Viognier,South Burnett,Queensland,Dry,,Medium Bodied,,
117,14.5%,Grigori,,Australia,,Clare Valley Riesling 2015,$16.50 per bottle,$60.00 per case of 6,,,750mL,8.3,Riesling,Clare Valley,,,,,,
118,14%,Grigori,,Australia,,Selection Chardonnay,$20.00 per bottle,$48.00 per case of 6,,,750mL,8.3,Chardonnay,McLaren Vale,,Dry,,Light Bodied,,
119,14%,Grigori,,Australia,,Selection Chardonnay,$20.00 per bottle,$48.00 per case of 6,,,750mL,8.3,Chardonnay,McLaren Vale,,Dry,,Light Bodied,,
